Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NFL,105,Pittsburgh (+1),33,Cincinnati (-1),20,Final Preview Lines Recap Box (O/U 49)
NFL,107,Buffalo (+1.5),20,Philadelphia (-1.5),23,Final Preview Lines Recap Box (O/U 47.5)
NFL,109,Atlanta (+8),0,Carolina (-8),38,Final Preview Lines Recap Box (O/U 45)
NFL,111,San Francisco (+1.5),10,Cleveland (-1.5),24,Final Preview Lines Recap Box (O/U 43)
NFL,113,Washington (+4),24,Chicago (-4),21,Final Preview Lines Recap Box (O/U 42.5)
NFL,115,Detroit (-3),14,St Louis (+3),21,Final Preview Lines Recap Box (O/U 42)
NFL,117,San Diego (+11),3,Kansas City (-11),10,Final Preview Lines Recap Box (O/U 42)
NFL,119,New Orleans (+6),24,Tampa Bay (-6),17,Final Preview Lines Recap Box (O/U 51.5)
NFL,121,Indianapolis (+1),16,Jacksonville (-1),51,Final Preview Lines Recap Box (O/U 46)
NFL,123,Tennessee (+8),8,Ny Jets (-8),30,Final Preview Lines Recap Box (O/U 42.5)
NFL,125,New England (-5),27,Houston (+5),6,Final Preview Lines Recap Box (O/U 46)
NFL,127,Oakland (+6),15,Denver (-6),12,Final Preview Lines Recap Box (O/U 43)
NFL,129,Dallas (+6),7,Green Bay (-6),28,Final Preview Lines Recap Box (O/U 43)
NFL,131,Seattle (-10.5),35,Baltimore (+10.5),6,Final Preview Lines Recap Box (O/U 42)
