Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NFL,105,Ny Giants (+6.5),17,Minnesota (-6.5),49,Final Preview Lines Recap Box (O/U 45)
NFL,107,Chicago (+3),26,Tampa Bay (-3),21,Final Preview Lines Recap Box (O/U 44)
NFL,109,Carolina (-7),13,Atlanta (+7),20,Final Preview Lines Recap Box (O/U 46)
NFL,111,Dallas (+6.5),6,Buffalo (-6.5),16,Final Preview Lines Recap Box (O/U 42)
NFL,113,Jacksonville (+2),27,New Orleans (-2),38,Final Preview Lines Recap Box (O/U 53.5)
NFL,115,San Francisco (+8),17,Detroit (-8),32,Final Preview Lines Recap Box (O/U 43)
NFL,117,Cleveland (+11.5),13,Kansas City (-11.5),17,Final Preview Lines Recap Box (O/U 42.5)
NFL,119,Indianapolis (+2),18,Miami (-2),12,Final Preview Lines Recap Box (O/U 43.5)
NFL,121,New England (-2),20,Ny Jets (+2),26,Final OT Preview Lines Recap Box (O/U 45)
NFL,123,Houston (-4),34,Tennessee (+4),6,Final Preview Lines Recap Box (O/U 39)
NFL,125,Green Bay (+6),8,Arizona (-6),38,Final Preview Lines Recap Box (O/U 49)
NFL,127,St Louis (+11.5),23,Seattle (-11.5),17,Final Preview Lines Recap Box (O/U 41.5)
NFL,129,Pittsburgh (-11),17,Baltimore (+11),20,Final Preview Lines Recap Box (O/U 48)
