Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NFL,451,Jacksonville (+1),31,Tampa Bay (-1),38,Final Preview Lines Recap Box (O/U 41)
NFL,453,Buffalo (PK),14,Tennessee (PK),13,Final Preview Lines Recap Box (O/U 42.5)
NFL,455,Cleveland (+6),33,Baltimore (-6),30,Final OT Preview Lines Recap Box (O/U 42.5)
NFL,457,Washington (+7),19,Atlanta (-7),25,Final OT Preview Lines Recap Box (O/U 48.5)
NFL,459,Chicago (+9.5),18,Kansas City (-9.5),17,Final Preview Lines Recap Box (O/U 44)
NFL,461,New Orleans (+6.5),17,Philadelphia (-6.5),39,Final Preview Lines Recap Box (O/U 49)
NFL,463,St Louis (+9),10,Green Bay (-9),24,Final Preview Lines Recap Box (O/U 45)
NFL,465,Seattle (+3),24,Cincinnati (-3),27,Final OT Preview Lines Recap Box (O/U 43)
NFL,467,Arizona (-4.5),42,Detroit (+4.5),17,Final Preview Lines Recap Box (O/U 46)
NFL,469,New England (-8),30,Dallas (+8),6,Final Preview Lines Recap Box (O/U 50.5)
NFL,471,Denver (-4),16,Oakland (+4),10,Final Preview Lines Recap Box (O/U 45)
NFL,473,San Francisco (+7.5),27,Ny Giants (-7.5),30,Final Preview Lines Recap Box (O/U 43.5)
