Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,523,Central Florida (-3.5),64,South Florida (+3.5),54,Final Lines Recap Box (O/U 135.5)
NCAAB,525,Nebraska (+15),72,Michigan St (-15),71,Final Preview Lines Recap Box (O/U 142)
NCAAB,527,Texas (+12),56,West Virginia (-12),49,Final Preview Lines Recap Box (O/U 146)
NCAAB,529,Virginia Tech (+12.5),81,Notre Dame (-12.5),83,Final Lines Recap Box
NCAAB,531,Wake Forest (+19),68,North Carolina (-19),83,Final Preview Lines Recap Box (O/U 167)
NCAAB,533,Duquesne (+15),71,Va Commonwealth (-15),93,Final Lines Recap Box
NCAAB,536,Temple (-10),62,Lasalle (+10),49,Final Lines Recap Box (O/U 128)
NCAAB,537,George Mason (+3.5),62,Fordham (-3.5),73,Final Lines Recap Box
NCAAB,539,Georgia (-2),60,Missouri (+2),57,Final Lines Recap Box (O/U 136.5)
NCAAB,541,Davidson (-9),87,St Louis (+9),96,Final Lines Recap Box
NCAAB,543,Indiana St (+4),66,Southern Ill (-4),79,Final Lines Recap Box
NCAAB,545,Illinois St (-11),55,Bradley (+11),52,Final Lines Recap Box
NCAAB,547,Sw Missouri St (+1),79,Drake (-1),70,Final Lines Recap Box
NCAAB,549,Wichita St (-5.5),74,Northern Iowa (+5.5),55,Final Lines Recap Box
NCAAB,551,Depaul (+8.5),57,Marquette (-8.5),56,Final Lines Recap Box (O/U 148.5)
NCAAB,553,Kansas St (+8.5),72,Baylor (-8.5),79,Final OT Preview Lines Recap Box (O/U 140.5)
NCAAB,555,Minnesota (+16.5),69,Michigan (-16.5),74,Final Lines Recap Box (O/U 141)
NCAAB,557,St Josephs Pa (-11),75,Pennsylvania (+11),60,Final Lines Recap Box
NCAAB,559,Colorado St (-3.5),83,Air Force (+3.5),79,Final Lines Recap Box
NCAAB,561,Vanderbilt (-2.5),88,Tennessee (+2.5),74,Final Lines Recap Box (O/U 151)
NCAAB,563,Villanova (-7),72,Seton Hall (+7),71,Final Preview Lines Recap Box (O/U 139.5)
NCAAB,565,Miami Fla (-15.5),67,Boston College (+15.5),53,Final Preview Lines Recap Box
NCAAB,567,Florida St (+9.5),65,Louisville (-9.5),84,Final Preview Lines Recap Box (O/U 143.5)
NCAAB,569,Nevada (+3),75,Wyoming (-3),69,Final Lines Recap Box
NCAAB,571,San Jose St (+19),69,Boise St (-19),94,Final Lines Recap Box
NCAAB,573,Colorado (+1),83,Washington (-1),95,Final Lines Recap Box (O/U 163.5)
NCAAB,575,Long Beach St (+2),77,Santa Barbara (-2),67,Final Lines Recap Box
NCAAB,577,Fullerton (+14.5),59,Cal Irvine (-14.5),72,Final Lines Recap Box
NCAAB,579,Ucla (+3),82,Oregon St (-3),73,Final Lines Recap Box (O/U 146)
NCAAB,581,Western Illinois (+4),67,South Dakota (-4),76,Final Lines Recap Box
NCAAB,998,American,78,Lafayette,71,Final Lines Recap Box
NCAAB,998,Army,65,Holy Cross,69,Final Lines Recap Box
NCAAB,998,Boston U,78,Colgate,85,Final Lines Recap Box
NCAAB,998,Bucknell,67,Loyola Md,58,Final Lines Recap Box
NCAAB,998,Campbell,66,Radford,78,Final Lines Recap Box
NCAAB,998,Charleston Sou,73,Presbyterian,72,Final Lines Recap Box
NCAAB,998,Navy,69,Lehigh,64,Final Lines Recap Box
NCAAB,998,Nc Asheville,69,High Point,73,Final Lines Recap Box
NCAAB,998,Winthrop,71,Gardner Webb,58,Final Lines Recap Box
