Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,717,Creighton (+3.5),73,Georgetown (-3.5),74,Final Lines Recap Box (O/U 145)
NCAAB,719,Ball St (+4.5),64,Buffalo (-4.5),76,Final Lines Recap Box
NCAAB,721,East Michigan (+5.5),58,Kent (-5.5),73,Final Lines Recap Box
NCAAB,723,Central Mich (-4.5),68,Miami-Ohio (+4.5),51,Final Lines Recap Box
NCAAB,725,Northern Illinois (+5.5),66,Akron (-5.5),76,Final Lines Recap Box
NCAAB,727,Ohio (+6.5),81,Toledo (-6.5),79,Final Lines Recap Box
NCAAB,729,Bowling Green (+4.5),79,Western Michigan (-4.5),78,Final Lines Recap Box
NCAAB,731,Mississippi St (+8.5),74,South Carolina (-8.5),84,Final Lines Recap Box (O/U 149)
NCAAB,733,Memphis (-4.5),97,Central Florida (+4.5),86,Final Lines Recap Box (O/U 146.5)
NCAAB,735,Indiana (-1.5),79,Wisconsin (+1.5),82,Final OT Preview Lines Recap Box (O/U 139)
NCAAB,737,Lasalle (+12),60,Duquesne (-12),87,Final Lines Recap Box
NCAAB,739,Texas Tech (+12.5),67,Oklahoma (-12.5),91,Final Preview Lines Recap Box (O/U 149.5)
NCAAB,741,Florida St (-10),72,Boston College (+10),62,Final Lines Recap Box (O/U 139)
NCAAB,743,Kansas St (+10.5),55,West Virginia (-10.5),70,Final Preview Lines Recap Box (O/U 143)
NCAAB,745,Tcu (+11),54,Texas (-11),71,Final Lines Recap Box
NCAAB,747,Drake (+8.5),64,Illinois St (-8.5),76,Final Lines Recap Box
NCAAB,749,Xavier (-1.5),75,Providence (+1.5),68,Final Preview Lines Recap Box (O/U 148.5)
NCAAB,751,South Alabama (+6.5),66,Troy St (-6.5),58,Final Lines Recap Box
NCAAB,753,Florida (+4.5),59,Vanderbilt (-4.5),60,Final Lines Recap Box (O/U 141.5)
NCAAB,755,Georgia (+8),85,Lsu (-8),89,Final Lines Recap Box (O/U 144)
NCAAB,757,Tennessee (+2.5),57,Alabama (-2.5),63,Final Lines Recap Box (O/U 145)
NCAAB,759,San Diego St (-5),57,Nevada (+5),54,Final Lines Recap Box (O/U 131)
NCAAB,761,Wyoming (+7.5),60,Fresno St (-7.5),71,Final Lines Recap Box
NCAAB,763,Siena (-8),82,Niagara (+8),70,Final Lines Recap Box
NCAAB,765,Virginia (-7.5),72,Wake Forest (+7.5),71,Final Preview Lines Recap Box
NCAAB,767,Se Louisiana (+14),63,Texas A&M Cc (-14),73,Final Lines Recap Box (O/U 148.5)
NCAAB,998,Bethune Cookman,68,Howard,70,Final Lines Recap Box
