Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,525,Tulane (+4.5),100,East Carolina (-4.5),92,Final OT Lines Recap Box (O/U 133)
NCAAB,527,Butler (+2.5),81,Seton Hall (-2.5),75,Final Lines Recap Box (O/U 145)
NCAAB,529,Memphis (+1),90,Houston (-1),98,Final Lines Recap Box (O/U 147)
NCAAB,531,Southern Ill (+3),85,Indiana St (-3),78,Final Lines Recap Box
NCAAB,533,Lsu (+4.5),83,South Carolina (-4.5),94,Final Lines Recap Box (O/U 153.5)
NCAAB,535,St Josephs Pa (+4.5),84,Geo Washington (-4.5),66,Final Lines Recap Box
NCAAB,537,St Bonaventure (-4),76,Fordham (+4),72,Final OT Lines Recap Box
NCAAB,539,Lasalle (+16),66,Davidson (-16),79,Final Lines Recap Box
NCAAB,541,Wake Forest (+8.5),66,Georgia Tech (-8.5),71,Final Lines Recap Box
NCAAB,543,Texas A&M (-5),62,Alabama (+5),63,Final Preview Lines Recap Box (O/U 134)
NCAAB,545,Providence (-1),91,Marquette (+1),96,Final OT Preview Lines Recap Box (O/U 144.5)
NCAAB,547,Nebraska (+8),61,Wisconsin (-8),72,Final Lines Recap Box (O/U 134)
NCAAB,549,Richmond (-7),67,St Louis (+7),53,Final Lines Recap Box
NCAAB,551,Sw Missouri St (+12.5),69,Northern Iowa (-12.5),83,Final Lines Recap Box
NCAAB,553,Loyola Chi (-8.5),54,Bradley (+8.5),43,Final Lines Recap Box
NCAAB,555,Baylor (+2.5),82,Kansas St (-2.5),72,Final Preview Lines Recap Box (O/U 139)
NCAAB,557,Iowa St (-2.5),82,Texas Tech (+2.5),85,Final OT Preview Lines Recap Box (O/U 149.5)
NCAAB,559,Missouri (+16),71,Vanderbilt (-16),86,Final Lines Recap Box (O/U 138)
NCAAB,561,Michigan (-7),82,Minnesota (+7),74,Final Lines Recap Box (O/U 141.5)
NCAAB,563,Washington (+11),82,Utah (-11),90,Final Lines Recap Box (O/U 158.5)
NCAAB,565,Tulsa (+9),82,Smu (-9),77,Final Preview Lines Recap Box (O/U 142.5)
NCAAB,567,Boise St (-3.5),93,Colorado St (+3.5),97,Final OT Lines Recap Box
NCAAB,569,San Jose St (+15),61,Nev Las Vegas (-15),64,Final Lines Recap Box
NCAAB,571,Air Force (+10.5),52,Nevada (-10.5),72,Final Lines Recap Box
NCAAB,573,Fullerton (+5),67,Northridge St (-5),75,Final Lines Recap Box
NCAAB,575,San Diego St (-3.5),57,Fresno St (+3.5),58,Final Lines Recap Box (O/U 126.5)
NCAAB,577,South Dakota St (-4.5),92,Nebraska-Omaha (+4.5),95,Final Lines Recap Box
NCAAB,579,Tennessee Tech (+2),55,Tennessee St (-2),85,Final Lines Recap Box
NCAAB,581,Jacksonville St (+17),73,Belmont (-17),81,Final Lines Recap Box
NCAAB,583,Austin Peay (+2.5),79,Eastern Ill (-2.5),70,Final Lines Recap Box
NCAAB,998,American,51,Boston U,71,Final Lines Recap Box
NCAAB,998,Lafayette,54,Holy Cross,67,Final Lines Recap Box
NCAAB,998,Lehigh,80,Bucknell,65,Final Lines Recap Box
NCAAB,998,Navy,71,Loyola Md,51,Final Lines Recap Box
