Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,519,Duke (+4),69,Miami Fla (-4),80,Final Preview Lines Recap Box (O/U 151)
NCAAB,521,Penn St (+9),46,Ohio St (-9),66,Final Lines Recap Box (O/U 137)
NCAAB,523,Detroit Mercy (+5.5),108,Wisc Green Bay (-5.5),115,Final OT Lines Recap Box
NCAAB,525,Oakland (+3.5),82,Wisc Milwaukee (-3.5),79,Final Lines Recap Box
NCAAB,529,Kansas (+1.5),72,Iowa St (-1.5),85,Final Preview Lines Recap Box (O/U 161)
NCAAB,531,Furman (-6.5),68,Vmi (+6.5),56,Final Lines Recap Box
NCAAB,533,Alabama A&M (+7.5),52,Southern (-7.5),73,Final Lines Recap Box (O/U 140)
NCAAB,535,Lafayette (+17),67,Bucknell (-17),79,Final Lines Recap Box (O/U 160.5)
NCAAB,537,Davidson (+6.5),78,Richmond (-6.5),70,Final Lines Recap Box
NCAAB,539,Geo Southern (+4),101,Appalachian St (-4),100,Final Lines Recap Box
NCAAB,998,Abliene Christian,51,Sam Houston,72,Final Lines Recap Box
NCAAB,998,Alabama St,72,Alcorn St,77,Final Lines Recap Box
NCAAB,998,Ark Pine Bluff,49,Texas Southern,78,Final Lines Recap Box
NCAAB,998,Central Arkansas,82,New Orleans,94,Final Lines Recap Box
NCAAB,998,Hillsdale Free Will Baptist,84,Houston Baptist,109,Final Lines Recap Box
NCAAB,998,Incarnate Word,76,Mcneese St,78,Final OT Lines Recap Box
NCAAB,998,Lamar,52,Stephen Austin,86,Final Lines Recap Box
NCAAB,998,Maine,54,Stony Brook,81,Final Lines Recap Box
NCAAB,998,Miss Valley St,76,Prairie View,73,Final Lines Recap Box
NCAAB,998,No Carolina A&T,55,Delaware St,57,Final Lines Recap Box
NCAAB,998,Northwestern St,88,Nicholls St,80,Final Lines Recap Box
NCAAB,998,Savannah St,73,Norfolk St,92,Final Lines Recap Box
NCAAB,998,So Carolina St,67,Hampton,62,Final Lines Recap Box
