Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,587,Cal Poly Slo,73,Hawaii,86,Final Lines Recap Box
NCAAB,709,Texas El Paso (+9),72,Middle Tenn St (-9),78,Final Lines Recap Box
NCAAB,711,Fla Atlantic (+11.5),67,Marshall (-11.5),90,Final Lines Recap Box
NCAAB,713,Hofstra (-3),61,Coll Charleston (+3),72,Final Lines Recap Box
NCAAB,715,Nc Wilmington (-3),60,Towson St (+3),76,Final Lines Recap Box
NCAAB,717,Delaware (+11.5),56,Northeastern (-11.5),88,Final Lines Recap Box
NCAAB,719,Notre Dame (-9),82,Boston College (+9),54,Final Lines Recap Box
NCAAB,721,Elon (+7.5),79,James Madison (-7.5),73,Final Lines Recap Box
NCAAB,723,William & Mary (-4),72,Drexel (+4),63,Final Lines Recap Box
NCAAB,725,Louisville (-6.5),77,No Carolina St (+6.5),72,Final Preview Lines Recap Box (O/U 134)
NCAAB,727,Cincinnati (+6),57,Smu (-6),59,Final Preview Lines Recap Box (O/U 137)
NCAAB,729,Texas Arlington (-12),71,Appalachian St (+12),67,Final Lines Recap Box
NCAAB,731,South Alabama (+4),64,Geo Southern (-4),58,Final Lines Recap Box
NCAAB,733,Wisc Green Bay (-3),87,Cleveland St (+3),67,Final Lines Recap Box
NCAAB,735,Troy St (+12),68,Georgia St (-12),72,Final Lines Recap Box
NCAAB,737,Wisc Milwaukee (-6.5),81,Youngstown St (+6.5),65,Final Lines Recap Box
NCAAB,739,Nc Charlotte (-4),82,Southern Miss (+4),76,Final Lines Recap Box
NCAAB,741,Texas San Ant (+20.5),82,Ala Birmingham (-20.5),104,Final Lines Recap Box
NCAAB,743,Florida Intl (+8),75,Western Kentucky (-8),72,Final Lines Recap Box
NCAAB,745,La Lafayette (+5.5),57,Arkansas Lr (-5.5),77,Final Lines Recap Box
NCAAB,747,La Monroe (+2),65,Arkansas St (-2),68,Final OT Lines Recap Box
NCAAB,749,Arizona (-3),84,Ucla (+3),87,Final Preview Lines Recap Box (O/U 152)
NCAAB,751,Alabama (+5.5),66,Mississippi (-5.5),74,Final Lines Recap Box (O/U 133)
NCAAB,753,Illinois (+13.5),54,Michigan St (-13.5),79,Final Preview Lines Recap Box (O/U 141.5)
NCAAB,755,Michigan (+9),70,Purdue (-9),87,Final Preview Lines Recap Box (O/U 132.5)
NCAAB,757,Old Dominion (+3),56,Louisiana Tech (-3),53,Final Lines Recap Box (O/U 137)
NCAAB,759,Pacific (+9.5),76,Pepperdine (-9.5),81,Final Lines Recap Box
NCAAB,761,St Marys Ca (-11.5),73,Loyola Marymnt (+11.5),48,Final Lines Recap Box
NCAAB,763,San Francisco (+2),73,San Diego (-2),65,Final Lines Recap Box
NCAAB,765,Arizona St (+5.5),65,Usc (-5.5),75,Final Lines Recap Box (O/U 154)
NCAAB,767,Cal Davis (+12.5),55,Cal Irvine (-12.5),76,Final Lines Recap Box
NCAAB,769,Santa Clara (+16),61,Byu (-16),97,Final Lines Recap Box (O/U 151)
NCAAB,771,Fullerton (+5),79,Cal Riverside (-5),73,Final Lines Recap Box
NCAAB,773,South Dakota St (-6.5),67,Indiana Purdue (+6.5),74,Final Lines Recap Box
NCAAB,775,Se Missouri St (+16),69,Morehead St (-16),96,Final Lines Recap Box
NCAAB,777,St Peters (-2.5),61,Niagara (+2.5),63,Final Lines Recap Box
NCAAB,779,Fairfield (+6),76,Siena (-6),91,Final Lines Recap Box
NCAAB,781,Manhattan (+10),94,Canisius (-10),86,Final Lines Recap Box
NCAAB,783,Rider (+9.5),58,Iona (-9.5),67,Final Lines Recap Box
NCAAB,785,Tenn Martin (+4),78,Eastern Ky (-4),70,Final Lines Recap Box
NCAAB,787,Tennessee Tech (+6.5),71,Murray St (-6.5),65,Final Lines Recap Box
NCAAB,789,Nebraska-Omaha (+6),91,North Dakota St (-6),82,Final Lines Recap Box
NCAAB,791,Jacksonville St (+8),54,Austin Peay (-8),73,Final Lines Recap Box
NCAAB,793,Portland St (+8.5),66,Montana (-8.5),79,Final Lines Recap Box
NCAAB,795,North Dakota (+14),62,Weber St (-14),74,Final Lines Recap Box
NCAAB,797,Northern Colorado (+2.5),78,Idaho St (-2.5),83,Final Lines Recap Box
NCAAB,799,Sacramento St (+3),64,Montana St (-3),71,Final Lines Recap Box
NCAAB,998,Bryant,56,Wagner,65,Final Lines Recap Box
NCAAB,998,Central Conn,62,Mt St Marys,73,Final Lines Recap Box
NCAAB,998,Fair Dickinson,80,Sacred Heart,68,Final Lines Recap Box
NCAAB,998,New Mexico St,78,Utah Valley St,66,Final Lines Recap Box
NCAAB,998,Robert Morris,70,Long Island,60,Final Lines Recap Box
NCAAB,998,Seattle,69,Mo Kansas City,84,Final Lines Recap Box
NCAAB,998,St Francis Pa,56,St Francis Ny,73,Final Lines Recap Box
NCAAB,998,Texas-Rio Grande Valley,63,Grand Canyon,83,Final Lines Recap Box
