Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,515,Cleveland St (+21.5),63,Maryland (-21.5),80,Final Preview Lines Recap Box (O/U 134.5)
NCAAB,517,Valparaiso (-9.5),66,Ball St (+9.5),69,Final Lines Recap Box
NCAAB,519,Kent (+13.5),76,Pittsburgh (-13.5),85,Final Lines Recap Box
NCAAB,521,Central Florida (+3),63,Miami-Ohio (-3),64,Final Lines Recap Box
NCAAB,523,Hawaii (+6),74,Texas Tech (-6),82,Final Lines Recap Box
NCAAB,525,Hofstra (+1.5),89,St Bonaventure (-1.5),83,Final Lines Recap Box
NCAAB,527,Arkansas Lr (+10.5),64,Tulsa (-10.5),60,Final Lines Recap Box
NCAAB,529,Old Dominion (+8),67,Va Commonwealth (-8),76,Final Lines Recap Box
NCAAB,531,Wright St (+3.5),39,George Mason (-3.5),66,Final Lines Recap Box
NCAAB,533,Illinois Chi (+9.5),62,Drake (-9.5),83,Final Lines Recap Box
NCAAB,535,Georgia (+3),62,Seton Hall (-3),69,Final Lines Recap Box (O/U 136.5)
NCAAB,537,Mississippi (-9),67,Bradley (+9),54,Final Lines Recap Box
NCAAB,539,La Monroe (+7.5),64,Houston (-7.5),76,Final Lines Recap Box
NCAAB,541,St Louis (+15),57,Louisville (-15),77,Final Lines Recap Box
NCAAB,543,Nevada (-2),66,Fullerton (+2),75,Final Lines Recap Box
NCAAB,545,Alabama St (-3.5),66,Chicago St (+3.5),64,Final Lines Recap Box
NCAAB,549,Nebraska (+1),82,Tennessee (-1),71,Final Lines Recap Box
NCAAB,552,Cincinnati (-5.5),61,Geo Washington (+5.5),56,Final Preview Lines Recap Box
NCAAB,553,San Diego (+4.5),62,Drexel (-4.5),59,Final Lines Recap Box
NCAAB,555,San Jose St (+1),91,Alaska-Anch (-1),87,Final Lines Recap Box
NCAAB,557,Loyola Chi (-4.5),48,Nc Asheville (+4.5),59,Final Lines Recap Box
NCAAB,561,Virginia Tech (+2.5),82,Ala Birmingham (-2.5),77,Final OT Lines Recap Box
NCAAB,564,Iowa St (-8),84,Illinois (+8),73,Final Preview Lines Recap Box (O/U 159)
NCAAB,565,Southern Ill (-3),80,Portland (+3),79,Final Lines Recap Box
NCAAB,567,Texas El Paso (+4),99,Colorado St (-4),90,Final OT Lines Recap Box
NCAAB,569,South Dakota (+6.5),96,Sacramento St (-6.5),90,Final Lines Recap Box
NCAAB,572,Pacific (-3),63,Eastern Wash (+3),70,Final Lines Recap Box
NCAAB,573,Canisius (+2.5),96,Buffalo (-2.5),98,Final OT Lines Recap Box
NCAAB,575,Detroit Mercy (+7.5),95,Oral Roberts (-7.5),100,Final Lines Recap Box
NCAAB,577,Loyola Marymnt (-3.5),73,Se Missouri St (+3.5),60,Final Lines Recap Box
NCAAB,579,Youngstown St (+4),88,Niagara (-4),70,Final Lines Recap Box
NCAAB,581,South Alabama (+6.5),56,Denver (-6.5),69,Final Lines Recap Box
NCAAB,583,Nc Wilmington (+1.5),94,E Tennessee St (-1.5),73,Final Lines Recap Box
NCAAB,585,Siu-Edwardsville (+28),73,Butler (-28),89,Final Lines Recap Box (O/U 148.5)
NCAAB,587,Manhattan (+10),64,Fordham (-10),87,Final Lines Recap Box
NCAAB,589,Northern Iowa (-10),97,North Dakota (+10),51,Final Lines Recap Box
NCAAB,591,Iupu Fort Wayne (+2),64,Nc Greensboro (-2),58,Final Lines Recap Box
NCAAB,593,Western Illinois (+12),67,Creighton (-12),97,Final Lines Recap Box
NCAAB,595,Southern Miss (+19),46,Morehead St (-19),61,Final Lines Recap Box
