Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,521,Southern Miss (+9),57,South Alabama (-9),54,Final Lines Recap Box
NCAAB,523,Cal Poly Slo (+8.5),63,St Marys Ca (-8.5),93,Final Lines Recap Box
NCAAB,525,Eastern Wash (+3.5),80,Westrn Carolina (-3.5),97,Final Lines Recap Box
NCAAB,998,Blue Mountain,60,Alcorn St,68,Final Lines Recap Box
NCAAB,998,Coast Carolina,71,Wofford,63,Final Lines Recap Box
NCAAB,998,Columbia International,74,Charleston Sou,107,Final Lines Recap Box
NCAAB,998,Dartmouth,62,Cs-Bakersfield,69,Final Lines Box
NCAAB,998,Florida Intl,72,North Florida,94,Final Lines Recap Box
NCAAB,998,Letourneau,54,Sam Houston,96,Final Lines Recap Box
NCAAB,998,Nc Central,73,Marshall,92,Final Lines Recap Box
NCAAB,998,Nicholls St,60,North Texas,78,Final Lines Recap Box
NCAAB,998,Prairie View,49,Tulane,63,Final Lines Recap Box
NCAAB,998,Robert Morris,71,Columbia,78,Final Lines Recap Box
NCAAB,998,Sacred Heart,71,Hartford,80,Final Lines Recap Box
NCAAB,998,St Francis Ny,60,Manhattan,71,Final Lines Recap Box
NCAAB,998,St Martins,50,Gonzaga,86,Final Preview Lines Recap Box
NCAAB,998,Tennessee St,93,Stetson,90,Final OT Lines Recap Box
NCAAB,998,Usc Upstate,66,Navy,57,Final Lines Recap Box
