Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,509,Memphis (-8.5),71,South Florida (+8.5),80,Final Lines Recap Box (O/U 141)
NCAAB,511,Toledo (-2.5),85,East Michigan (+2.5),91,Final Lines Recap Box
NCAAB,513,Georgia (+8.5),67,Vanderbilt (-8.5),80,Final Lines Recap Box (O/U 134)
NCAAB,515,Florida (+2.5),69,South Carolina (-2.5),73,Final OT Lines Recap Box (O/U 142.5)
NCAAB,517,St Bonaventure (+10),79,Dayton (-10),72,Final Preview Lines Recap Box (O/U 142)
NCAAB,519,Xavier (-2.5),88,Georgetown (+2.5),70,Final Preview Lines Recap Box (O/U 149.5)
NCAAB,521,Duke (+7),64,Louisville (-7),71,Final Preview Lines Recap Box (O/U 143)
NCAAB,523,Elon (+6),56,Towson St (-6),67,Final Lines Recap Box
NCAAB,525,Miami Fla (+7.5),69,North Carolina (-7.5),96,Final Preview Lines Recap Box (O/U 147)
NCAAB,527,Penn St (-8.5),70,Rutgers (+8.5),58,Final Lines Recap Box (O/U 138.5)
NCAAB,529,Drexel (+14),74,William & Mary (-14),69,Final Lines Recap Box
NCAAB,531,Marquette (-4.5),73,Depaul (+4.5),60,Final Lines Recap Box
NCAAB,533,Youngstown St (+15),90,Wisc Green Bay (-15),107,Final Lines Recap Box
NCAAB,535,Central Mich (-1),85,Western Michigan (+1),92,Final Lines Recap Box
NCAAB,537,Miami-Ohio (+11.5),64,Ohio (-11.5),76,Final Lines Recap Box
NCAAB,539,Florida Intl (+1),70,Rice (-1),86,Final Lines Recap Box
NCAAB,541,New Mexico (-8),72,Air Force (+8),76,Final Lines Recap Box
NCAAB,543,Pittsburgh (+2),66,Syracuse (-2),52,Final Lines Recap Box (O/U 133)
NCAAB,545,Baylor (+5.5),78,Texas (-5.5),64,Final Preview Lines Recap Box (O/U 138)
NCAAB,547,St Josephs Pa (-1.5),93,Davidson (+1.5),99,Final Lines Recap Box (O/U 159.5)
NCAAB,549,Arkansas St (+8),61,Georgia St (-8),69,Final Lines Recap Box
NCAAB,551,Mississippi St (+5.5),67,Alabama (-5.5),61,Final Lines Recap Box (O/U 140)
NCAAB,553,Butler (+11),67,Villanova (-11),77,Final Preview Lines Recap Box (O/U 141)
NCAAB,555,Nc Charlotte (+2.5),54,Western Kentucky (-2.5),59,Final Lines Recap Box
NCAAB,557,Florida St (-3.5),73,Virginia Tech (+3.5),83,Final Lines Recap Box
NCAAB,559,Clemson (+2.5),74,No Carolina St (-2.5),77,Final Lines Recap Box
NCAAB,561,Troy St (+3),74,Appalachian St (-3),78,Final Lines Recap Box
NCAAB,563,Bowling Green (+7),74,Buffalo (-7),88,Final Lines Recap Box
NCAAB,567,Southern Ill (+7),71,Evansville (-7),83,Final Lines Recap Box
NCAAB,569,Cleveland St (+11.5),54,Wisc Milwaukee (-11.5),88,Final Lines Recap Box
NCAAB,571,Southern Miss (-1),53,Texas San Ant (+1),74,Final Lines Recap Box
NCAAB,573,Delaware (+11),50,James Madison (-11),75,Final Lines Recap Box
NCAAB,575,San Francisco (-2.5),87,Loyola Marymnt (+2.5),100,Final OT Lines Recap Box
NCAAB,577,Kentucky (-2),77,Texas A&M (+2),79,Final OT Preview Lines Recap Box (O/U 141.5)
NCAAB,579,Illinois St (+5.5),66,Northern Iowa (-5.5),75,Final Lines Recap Box (O/U 129)
NCAAB,581,Wyoming (+6),84,Colorado St (-6),66,Final Lines Recap Box
NCAAB,583,Oklahoma (+4),76,West Virginia (-4),62,Final Preview Lines Recap Box (O/U 152.5)
NCAAB,585,Connecticut (+3.5),60,Cincinnati (-3.5),65,Final Lines Recap Box (O/U 127)
NCAAB,587,Mississippi (-6),69,Auburn (+6),59,Final Lines Recap Box (O/U 148)
NCAAB,589,Lsu (-3),65,Tennessee (+3),81,Final Lines Recap Box (O/U 159.5)
NCAAB,591,La Lafayette (-8),57,Texas State (+8),61,Final Lines Recap Box
NCAAB,593,Nc Wilmington (-2),59,Coll Charleston (+2),55,Final OT Lines Recap Box
NCAAB,595,Brown (+18),66,Princeton (-18),77,Final Lines Recap Box
NCAAB,597,Harvard (-2.5),76,Cornell (+2.5),74,Final Lines Recap Box
NCAAB,599,Kansas (-4.5),72,Kansas St (+4.5),63,Final Preview Lines Recap Box (O/U 143.5)
NCAAB,601,Louisiana Tech (+2),80,Texas El Paso (-2),91,Final Lines Recap Box (O/U 154.5)
NCAAB,603,Northern Ky (+8.5),64,Wright St (-8.5),67,Final Lines Recap Box
NCAAB,605,Duquesne (+8.5),74,Rhode Island (-8.5),77,Final Lines Recap Box
NCAAB,607,Yale (-9),79,Pennsylvania (+9),58,Final Lines Recap Box
NCAAB,609,Dartmouth (+9),54,Columbia (-9),73,Final Lines Recap Box
NCAAB,613,Old Dominion (+2.5),65,Marshall (-2.5),82,Final Lines Recap Box
NCAAB,615,Utah St (+4.5),68,Fresno St (-4.5),75,Final Lines Recap Box
NCAAB,617,Arkansas Lr (-5.5),75,Geo Southern (+5.5),61,Final Lines Recap Box
NCAAB,619,Tcu (+17.5),83,Iowa St (-17.5),92,Final Preview Lines Recap Box (O/U 147)
NCAAB,621,Missouri (+12.5),72,Arkansas (-12.5),84,Final Lines Recap Box (O/U 147)
NCAAB,623,Fordham (-1.5),68,St Louis (+1.5),76,Final Lines Recap Box
NCAAB,625,Fla Atlantic (+4.5),62,North Texas (-4.5),70,Final Lines Recap Box
NCAAB,627,Notre Dame (-3),62,Georgia Tech (+3),63,Final Preview Lines Recap Box (O/U 152.5)
NCAAB,629,Ohio St (+2),65,Nebraska (-2),62,Final OT Lines Recap Box (O/U 137)
NCAAB,631,Santa Clara (+9.5),76,Pepperdine (-9.5),88,Final Lines Recap Box
NCAAB,633,Drake (-4),70,Bradley (+4),73,Final Lines Recap Box
NCAAB,635,Stanford (+5.5),53,Washington (-5.5),64,Final Lines Recap Box (O/U 156)
NCAAB,637,La Monroe (+7),64,Texas Arlington (-7),61,Final Lines Recap Box
NCAAB,639,San Diego (+18),33,Byu (-18),91,Final Lines Recap Box
NCAAB,641,Purdue (+4.5),73,Indiana (-4.5),77,Final Preview Lines Recap Box (O/U 147)
NCAAB,643,Texas Tech (+1.5),71,Oklahoma St (-1.5),61,Final Lines Recap Box (O/U 129.5)
NCAAB,645,St Marys Ca (+5.5),63,Gonzaga (-5.5),58,Final Lines Recap Box (O/U 138)
NCAAB,647,Oregon St (+12),81,Oregon (-12),91,Final Preview Lines Recap Box (O/U 146)
NCAAB,649,Northridge St (+6),75,Cal Poly Slo (-6),71,Final OT Lines Recap Box
NCAAB,651,Pacific (+4.5),67,Portland (-4.5),80,Final Lines Recap Box
NCAAB,653,Fullerton (+11.5),57,Long Beach St (-11.5),70,Final Lines Recap Box
NCAAB,655,Cal Davis (+11),55,Santa Barbara (-11),62,Final Lines Recap Box
NCAAB,657,Nevada (+5.5),91,Nev Las Vegas (-5.5),102,Final OT Lines Recap Box (O/U 148.5)
NCAAB,659,Hawaii (+3.5),75,Cal Irvine (-3.5),71,Final Lines Recap Box (O/U 136)
NCAAB,661,Colorado (+5),53,Ucla (-5),77,Final Lines Recap Box (O/U 149.5)
NCAAB,663,Westrn Carolina (-4),102,The Citadel (+4),97,Final Lines Recap Box
NCAAB,665,Vmi (+11),67,Samford (-11),73,Final Lines Recap Box
NCAAB,667,Fairfield (-3),71,Niagara (+3),59,Final Lines Recap Box
NCAAB,669,Marist (+8),66,Canisius (-8),81,Final Lines Recap Box
NCAAB,671,Northern Colorado (+7.5),73,North Dakota (-7.5),74,Final Lines Recap Box
NCAAB,673,South Dakota St (-7.5),87,Western Illinois (+7.5),67,Final Lines Recap Box
NCAAB,675,E Tennessee St (+3),77,Mercer (-3),74,Final Lines Recap Box
NCAAB,677,Nc Greensboro (+12.5),79,Tennessee Chat (-12.5),64,Final Lines Recap Box
NCAAB,679,Indiana Purdue (+6.5),59,North Dakota St (-6.5),63,Final Lines Recap Box
NCAAB,681,Eastern Ill (-4),71,Se Missouri St (+4),68,Final Lines Recap Box
NCAAB,683,Tennessee Tech (+8),86,Belmont (-8),95,Final Lines Recap Box
NCAAB,685,Weber St (-11),77,Northrn Arizona (+11),74,Final Lines Recap Box
NCAAB,687,Furman (+2.5),73,Wofford (-2.5),77,Final Lines Recap Box
NCAAB,689,Siu-Edwardsville (+7.5),51,Tenn Martin (-7.5),68,Final Lines Recap Box
NCAAB,691,Nebraska-Omaha (+3),90,Iupu Fort Wayne (-3),94,Final Lines Recap Box
NCAAB,693,Murray St (-1),76,Austin Peay (+1),60,Final Lines Recap Box
NCAAB,695,Jacksonville St (+11),46,Tennessee St (-11),61,Final Lines Recap Box
NCAAB,697,Idaho St (-2),89,Southern Utah (+2),71,Final Lines Recap Box
NCAAB,699,Montana St (+10),78,Montana (-10),87,Final Lines Recap Box
NCAAB,701,Eastern Wash (-3.5),91,Portland St (+3.5),107,Final Lines Recap Box
NCAAB,703,Idaho (+1.5),65,Sacramento St (-1.5),68,Final Lines Recap Box
NCAAB,705,Army (+4.5),80,Navy (-4.5),78,Final OT Lines Recap Box (O/U 139)
NCAAB,998,Alcorn St,62,Alabama A&M,58,Final Lines Recap Box
NCAAB,998,Bethune Cookman,55,Florida A&M,54,Final Lines Recap Box
NCAAB,998,Campbell,74,Charleston Sou,72,Final Lines Recap Box
NCAAB,998,Central Arkansas,75,Sam Houston,105,Final Lines Recap Box
NCAAB,998,Chicago St,52,Grand Canyon,67,Final Lines Recap Box
NCAAB,998,Cs-Bakersfield,70,Texas-Rio Grande Valley,57,Final Lines Recap Box
NCAAB,998,High Point,75,Radford,72,Final OT Lines Recap Box
NCAAB,998,Incarnate Word,69,Texas A&M Cc,90,Final Lines Recap Box
NCAAB,998,Jackson St,61,Grambling,58,Final Lines Recap Box
NCAAB,998,Kennesaw State,63,Fla Gulf Coast,68,Final Lines Recap Box
NCAAB,998,Lamar,87,Mcneese St,76,Final Lines Recap Box
NCAAB,998,Lipscomb,77,Stetson,74,Final Lines Recap Box
NCAAB,998,Long Island,94,St Francis Pa,89,Final OT Lines Recap Box
NCAAB,998,Longwood,71,Gardner Webb,81,Final Lines Recap Box
NCAAB,998,Massachusetts Lowell,77,Binghamton,81,Final Lines Recap Box
NCAAB,998,Mo Kansas City,70,Utah Valley St,79,Final Lines Recap Box
NCAAB,998,Mt St Marys,71,Bryant,53,Final Lines Recap Box
NCAAB,998,Nc Asheville,80,Winthrop,81,Final Lines Recap Box
NCAAB,998,Nc Central,71,Morgan St,59,Final Lines Recap Box
NCAAB,998,New Hampshire,74,Hartford,63,Final Lines Recap Box
NCAAB,998,New Orleans,102,Northwestern St,99,Final Lines Recap Box
NCAAB,998,Njit,73,Jacksonville,58,Final Lines Recap Box
NCAAB,998,Norfolk St,64,Delaware St,67,Final Lines Recap Box
NCAAB,998,Prairie View,57,Ark Pine Bluff,55,Final Lines Recap Box
NCAAB,998,Presbyterian,79,Liberty,73,Final Lines Recap Box
NCAAB,998,Sacred Heart,91,Fair Dickinson,86,Final Lines Recap Box
NCAAB,998,Savannah St,66,Howard,56,Final Lines Recap Box
NCAAB,998,Seattle,57,New Mexico St,70,Final Lines Recap Box
NCAAB,998,So Carolina St,62,Md Eastrn Shore,58,Final Lines Recap Box
NCAAB,998,Southern,68,Alabama St,77,Final Lines Recap Box
NCAAB,998,St Francis Ny,82,Robert Morris,72,Final Lines Recap Box
NCAAB,998,Stephen Austin,88,Nicholls St,53,Final Lines Recap Box
NCAAB,998,Texas Southern,98,Miss Valley St,67,Final Lines Recap Box
NCAAB,998,Usc Upstate,78,North Florida,81,Final Lines Recap Box
NCAAB,998,Vermont,99,Umbc,54,Final Lines Recap Box
NCAAB,998,Wagner,83,Central Conn,57,Final Lines Recap Box
