Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,841,Yale (-14),88,Cornell (+14),64,Final Lines Recap Box
NCAAB,843,Princeton (-8),71,Harvard (+8),73,Final Lines Recap Box
NCAAB,845,Brown (+15.5),63,Columbia (-15.5),66,Final Lines Recap Box
NCAAB,847,Pennsylvania (+4.5),64,Dartmouth (-4.5),72,Final Lines Recap Box
NCAAB,849,Buffalo (-2.5),87,Bowling Green (+2.5),83,Final Lines Recap Box
NCAAB,851,Kent (+8),60,Akron (-8),74,Final Lines Recap Box
NCAAB,853,Western Michigan (+7),91,Central Mich (-7),82,Final OT Lines Recap Box
NCAAB,855,Ohio (-2.5),67,Miami-Ohio (+2.5),65,Final Lines Recap Box
NCAAB,857,East Michigan (+9),79,Toledo (-9),75,Final Lines Recap Box
NCAAB,859,Ball St (-1),69,Northern Illinois (+1),80,Final Lines Recap Box (O/U 136)
NCAAB,861,Texas (-5.5),62,Oklahoma St (+5.5),50,Final Preview Lines Recap Box (O/U 128)
NCAAB,863,Loyola Chi (+18),58,Wichita St (-18),66,Final Lines Recap Box
NCAAB,865,Southern Ill (+6.5),60,Northern Iowa (-6.5),66,Final Lines Recap Box
NCAAB,867,Sw Missouri St (+13.5),56,Evansville (-13.5),66,Final Lines Recap Box
NCAAB,869,Indiana St (+4.5),65,Illinois St (-4.5),57,Final Lines Recap Box
NCAAB,871,Drexel (+4.5),57,Elon (-4.5),56,Final Lines Recap Box
NCAAB,873,Delaware (+11),63,Coll Charleston (-11),67,Final Lines Recap Box
NCAAB,875,San Diego (+3),61,Loyola Marymnt (-3),64,Final Lines Recap Box
NCAAB,879,Rider (+9),48,Monmouth (-9),59,Final Lines Recap Box
NCAAB,881,Canisius (+12.5),55,Iona (-12.5),73,Final Lines Recap Box
NCAAB,883,Vmi (+6),85,Samford (-6),92,Final OT Lines Recap Box
NCAAB,885,The Citadel (+9.5),69,Mercer (-9.5),71,Final Lines Recap Box
NCAAB,887,Austin Peay (+10),97,Belmont (-10),96,Final OT Lines Recap Box (O/U 160.5)
NCAAB,889,Morehead St (-5),70,Tenn Martin (+5),83,Final Lines Recap Box (O/U 135)
NCAAB,891,Longwood (+5.5),78,High Point (-5.5),89,Final Lines Recap Box
NCAAB,893,Liberty (+8),49,Nc Asheville (-8),80,Final Lines Recap Box
NCAAB,895,Presbyterian (+13),53,Winthrop (-13),67,Final Lines Recap Box
NCAAB,897,Gardner Webb (+4.5),69,Coast Carolina (-4.5),65,Final Lines Recap Box
