Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,509,Georgetown (-13),62,Nc Charlotte (+13),59,Final Lines Recap Box (O/U 150)
NCAAB,511,Troy St (+16.5),80,Mississippi (-16.5),83,Final OT Lines Recap Box (O/U 154.5)
NCAAB,513,Miami Fla (-16.5),95,Lasalle (+16.5),49,Final Preview Lines Recap Box (O/U 141.5)
NCAAB,515,Clemson (+2.5),48,Georgia (-2.5),71,Final Lines Recap Box (O/U 124)
NCAAB,517,South Florida (+16.5),49,Seton Hall (-16.5),66,Final Lines Recap Box (O/U 136.5)
NCAAB,519,Southern Miss (+11),40,Tulane (-11),59,Final Lines Recap Box
NCAAB,521,Pennsylvania (+5),52,Drexel (-5),53,Final OT Lines Recap Box
NCAAB,523,Miami-Ohio (+15.5),63,Dayton (-15.5),64,Final Lines Recap Box
NCAAB,525,Buffalo (+12.5),69,Va Commonwealth (-12.5),90,Final Lines Recap Box
NCAAB,527,Ball St (+5),61,Indiana St (-5),73,Final Lines Recap Box
NCAAB,530,Michigan St (-11),99,Oakland (+11),93,Final OT Preview Lines Recap Box (O/U 157)
NCAAB,531,Middle Tenn St (+4.5),62,Georgia St (-4.5),64,Final Lines Recap Box
NCAAB,533,Delaware (+25),48,Villanova (-25),78,Final Preview Lines Recap Box (O/U 136.5)
NCAAB,535,Fla Atlantic (+13.5),54,Hofstra (-13.5),68,Final Lines Recap Box
NCAAB,537,Iowa St (+5),81,Cincinnati (-5),79,Final Preview Lines Recap Box (O/U 144)
NCAAB,539,Rhode Island (+1.5),65,Old Dominion (-1.5),71,Final Lines Recap Box
NCAAB,541,Fordham (-4),55,Boston College (+4),64,Final Lines Recap Box
NCAAB,543,Xavier (-7),78,Wake Forest (+7),70,Final Preview Lines Recap Box
NCAAB,545,Cal Poly Slo (-10),88,Texas San Ant (+10),73,Final Lines Recap Box
NCAAB,547,Arkansas Lr (+4.5),53,Texas Tech (-4.5),65,Final Lines Recap Box
NCAAB,549,Nevada (+16.5),69,Wichita St (-16.5),98,Final Lines Recap Box
NCAAB,551,Rice (+2.5),67,South Alabama (-2.5),74,Final Lines Recap Box
NCAAB,553,Detroit Mercy (+2.5),74,Western Kentucky (-2.5),79,Final Lines Recap Box
NCAAB,555,Vanderbilt (+6),55,Purdue (-6),68,Final Preview Lines Recap Box (O/U 138.5)
NCAAB,558,St Johns (+13.5),61,South Carolina (-13.5),75,Final Preview Lines Recap Box (O/U 139)
NCAAB,559,California (+12.5),62,Virginia (-12.5),63,Final OT Preview Lines Recap Box (O/U 134)
NCAAB,561,Long Beach St (+17),70,Arizona (-17),85,Final Preview Lines Recap Box (O/U 147)
NCAAB,563,Geo Washington (-6.5),61,Depaul (+6.5),82,Final Preview Lines Recap Box (O/U 141.5)
NCAAB,567,Kansas (-7),70,San Diego St (+7),57,Final Preview Lines Recap Box (O/U 135.5)
NCAAB,569,Auburn (+4),83,New Mexico (-4),78,Final Lines Recap Box (O/U 157.5)
NCAAB,572,Byu (-7.5),82,Harvard (+7.5),85,Final OT Lines Recap Box (O/U 145.5)
NCAAB,573,Oklahoma (-13.5),88,Washington St (+13.5),60,Final Preview Lines Recap Box (O/U 151)
NCAAB,578,Eastern Ill (+4),52,Nc Central (-4),57,Final Lines Recap Box
NCAAB,580,Nebraska-Omaha (-2),74,Southern (+2),53,Final Lines Recap Box
NCAAB,581,Houston (-6.5),94,Wyoming (+6.5),89,Final OT Lines Recap Box
NCAAB,583,Grand Canyon (-4),85,Marshall (+4),81,Final Lines Recap Box
NCAAB,585,Utah Valley St (+14.5),77,Nc Wilmington (-14.5),102,Final Lines Recap Box
NCAAB,587,Mo Kansas City (+24),47,Louisville (-24),75,Final Preview Lines Recap Box
NCAAB,590,Sam Houston (+4),68,Texas El Paso (-4),87,Final Lines Recap Box
NCAAB,592,Cal Irvine (-10.5),80,Norfolk St (+10.5),62,Final Lines Box
NCAAB,593,Kent (+10.5),74,Smu (-10.5),90,Final Preview Lines Recap Box
NCAAB,595,Penn St (+6.5),70,Colorado (-6.5),71,Final Lines Recap Box
NCAAB,598,Texas-Rio Grande Valley (+17),50,North Dakota St (-17),68,Final Lines Recap Box
NCAAB,599,Idaho St (+19),58,Utah St (-19),69,Final Lines Recap Box
NCAAB,602,Santa Barbara (-1),80,Iona (+1),76,Final Lines Recap Box
NCAAB,604,La Monroe (+2.5),88,Canisius (-2.5),89,Final OT Lines Recap Box
NCAAB,606,Marist (+2.5),84,Brown (-2.5),83,Final OT Lines Recap Box
NCAAB,607,St Bonaventure (+1.5),70,Siena (-1.5),73,Final Lines Recap Box
NCAAB,609,Montana St (+19),60,Syracuse (-19),82,Final Lines Recap Box
NCAAB,611,Tennessee St (+8.5),55,Illinois St (-8.5),66,Final Lines Recap Box
NCAAB,613,E Tennessee St (+11),67,Tennessee (-11),76,Final Lines Recap Box
NCAAB,615,Nc Greensboro (+16.5),52,No Carolina St (-16.5),58,Final Lines Recap Box
NCAAB,617,Murray St (+2.5),49,Wright St (-2.5),65,Final Lines Recap Box
NCAAB,619,Iupu Fort Wayne (+5),89,Western Michigan (-5),86,Final OT Lines Recap Box
NCAAB,621,North Dakota (+17),49,Kansas St (-17),63,Final Lines Recap Box
NCAAB,623,Wofford (-2),77,Austin Peay (+2),84,Final Lines Recap Box
NCAAB,625,Se Missouri St (+15),78,Sw Missouri St (-15),74,Final Lines Recap Box
NCAAB,627,Indiana Purdue (+14.5),48,Memphis (-14.5),84,Final Lines Recap Box
NCAAB,629,Northrn Arizona (+20),55,Tulsa (-20),90,Final Lines Recap Box
NCAAB,631,Southern Utah (+27.5),52,Butler (-27.5),88,Final Preview Lines Recap Box (O/U 155.5)
NCAAB,633,Tennessee Tech (+20),63,Iowa (-20),85,Final Lines Recap Box
NCAAB,635,South Dakota St (+2),95,Weber St (-2),99,Final Lines Recap Box
NCAAB,637,Mercer (+11),44,Ohio St (-11),64,Final Lines Recap Box (O/U 128.5)
NCAAB,639,Idaho (+5.5),68,Cal Davis (-5.5),51,Final Lines Recap Box
NCAAB,641,South Dakota (+13),68,Nev Las Vegas (-13),103,Final Lines Recap Box
NCAAB,643,Denver (+5),54,Cal Riverside (-5),63,Final Lines Recap Box
NCAAB,646,St Josephs Pa (-3),79,Virginia Tech (+3),62,Final Lines Recap Box
NCAAB,647,Stephen Austin (+6.5),73,Arizona St (-6.5),80,Final Lines Recap Box (O/U 141)
NCAAB,649,Kennesaw State (+34),72,Indiana (-34),99,Final Lines Recap Box (O/U 152)
NCAAB,651,American (+20.5),51,Lsu (-20.5),79,Final Lines Recap Box (O/U 135.5)
NCAAB,653,Mcneese St (+27.5),53,Ucla (-27.5),67,Final Lines Recap Box (O/U 154)
NCAAB,998,Abliene Christian,70,Drake,87,Final Lines Recap Box
NCAAB,998,Alabama A&M,70,Evansville,91,Final Lines Recap Box
NCAAB,998,Alabama St,84,Winthrop,92,Final Lines Recap Box
NCAAB,998,Bethune Cookman,96,Central Florida,101,Final OT Lines Recap Box
NCAAB,998,Bucknell,77,Princeton,89,Final Lines Recap Box
NCAAB,998,Central Arkansas,67,Arkansas St,77,Final Lines Recap Box
NCAAB,998,Central Pennsylvania College,86,Md Eastrn Shore,115,Final Lines Recap Box
NCAAB,998,Coll Charleston,86,Campbell,68,Final Lines Recap Box
NCAAB,998,Delaware St,58,Utah,105,Final Preview Lines Recap Box
NCAAB,998,Florida Intl,66,Binghamton,49,Final Lines Recap Box
NCAAB,998,Furman,49,Navy,62,Final Lines Recap Box
NCAAB,998,Hiwassee College,43,Ala Birmingham,116,Final Lines Recap Box
NCAAB,998,Howard,52,Central Mich,72,Final Lines Recap Box
NCAAB,998,Incarnate Word,59,Long Island,66,Final Lines Recap Box
NCAAB,998,J&W-Denver,56,Air Force,80,Final Lines Recap Box
NCAAB,998,Jacksonville,65,Florida,89,Final Lines Recap Box
NCAAB,998,Life Pacific,66,San Jose St,128,Final Lines Recap Box
NCAAB,998,Longwood,54,Dartmouth,78,Final Lines Recap Box
NCAAB,998,Louisiana Tech,66,Fla Gulf Coast,63,Final Lines Recap Box
NCAAB,998,Loyola Md,88,Fairfield,94,Final OT Lines Recap Box
NCAAB,998,Mt St Marys,53,James Madison,73,Final Lines Recap Box
NCAAB,998,Nicholls St,84,Hampton,81,Final Lines Recap Box
NCAAB,998,North Florida,72,Arkansas,97,Final Lines Recap Box
NCAAB,998,Portland St,66,Cs-Bakersfield,78,Final Lines Recap Box
