Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,721,West Virginia (-8),88,Virginia Tech (+8),63,Final Preview Lines Recap Box (O/U 149)
NCAAB,723,Indiana (-17),79,Rutgers (+17),72,Final Lines Recap Box (O/U 149.5)
NCAAB,725,Houston (-7),73,South Florida (+7),67,Final Lines Recap Box (O/U 137.5)
NCAAB,727,Michigan (-5),78,Illinois (+5),68,Final Lines Recap Box (O/U 140.5)
NCAAB,729,Northwestern (+3.5),81,Nebraska (-3.5),72,Final Lines Recap Box (O/U 130.5)
NCAAB,731,Long Beach St (+22),81,Duke (-22),103,Final Preview Lines Recap Box
NCAAB,733,Penn St (+15),64,Maryland (-15),70,Final Preview Lines Recap Box (O/U 135)
NCAAB,735,Oakland (+17),58,Virginia (-17),71,Final Preview Lines Recap Box (O/U 150)
NCAAB,737,Minnesota (+11),63,Ohio St (-11),78,Final Lines Recap Box (O/U 138)
NCAAB,739,Seton Hall (+3.5),83,Marquette (-3.5),63,Final Lines Recap Box (O/U 140)
NCAAB,741,Cal Riverside (+8.5),59,Ohio (-8.5),81,Final Lines Recap Box
NCAAB,743,Rhode Island (-7),88,Brown (+7),83,Final OT Lines Recap Box
NCAAB,745,Clemson (+15),69,North Carolina (-15),80,Final Preview Lines Recap Box (O/U 143.5)
NCAAB,747,Northern Ky (+12),73,Toledo (-12),90,Final Lines Recap Box
NCAAB,749,Arkansas (+8.5),81,Dayton (-8.5),85,Final OT Lines Recap Box (O/U 147)
NCAAB,751,Southern Ill (+2),72,Loyola Chi (-2),62,Final Lines Recap Box
NCAAB,753,Indiana St (+10),62,Evansville (-10),70,Final Lines Recap Box
NCAAB,755,Bradley (+20),44,Northern Iowa (-20),80,Final Lines Recap Box
NCAAB,757,Sw Missouri St (+7),61,Illinois St (-7),74,Final Lines Recap Box
NCAAB,759,Arkansas Lr (-8),69,South Alabama (+8),60,Final Lines Recap Box
NCAAB,761,Georgia St (+4),70,Texas Arlington (-4),85,Final Lines Recap Box
NCAAB,763,Arkansas St (+4),84,Troy St (-4),81,Final Lines Recap Box
NCAAB,765,Geo Southern (+7),66,Texas State (-7),80,Final Lines Recap Box
NCAAB,767,Western Michigan (+19),61,Vanderbilt (-19),86,Final Lines Recap Box (O/U 140)
NCAAB,769,Cal Davis (+17),56,Boise St (-17),64,Final Lines Recap Box
NCAAB,771,Nevada (+8),76,New Mexico (-8),88,Final Lines Recap Box
NCAAB,773,Syracuse (+7.5),61,Pittsburgh (-7.5),72,Final Lines Recap Box (O/U 138)
NCAAB,775,Georgetown (-4),70,Depaul (+4),58,Final Lines Recap Box (O/U 140.5)
NCAAB,777,Utah St (-7.5),80,San Jose St (+7.5),71,Final Lines Recap Box
NCAAB,779,Fresno St (+8),69,Nev Las Vegas (-8),66,Final Lines Recap Box (O/U 144.5)
NCAAB,781,Wyoming (+12),55,San Diego St (-12),67,Final Lines Recap Box (O/U 123.5)
NCAAB,783,Morehead St (-1.5),72,E Tennessee St (+1.5),75,Final Lines Recap Box
NCAAB,785,Oral Roberts (+4.5),84,Iupu Fort Wayne (-4.5),90,Final Lines Recap Box
NCAAB,787,Niagara (+13.5),68,St Bonaventure (-13.5),82,Final Lines Recap Box
NCAAB,998,American,67,Loyola Md,75,Final Lines Recap Box
NCAAB,998,Arizona Christian,61,New Mexico St,81,Final Lines Recap Box
NCAAB,998,Army,88,Lehigh,82,Final Lines Recap Box
NCAAB,998,Boston U,64,Holy Cross,80,Final Lines Recap Box
NCAAB,998,Brescia,75,Murray St,101,Final Lines Recap Box
NCAAB,998,Bridgewater (va),37,Vmi,72,Final Lines Recap Box
NCAAB,998,Coppin St,84,Iowa St,104,Final Lines Recap Box
NCAAB,998,Fla Inst Tech,83,Stetson,93,Final Lines Recap Box
NCAAB,998,Fort Valley St,89,Alabama St,105,Final Lines Recap Box
NCAAB,998,Francis Marion,56,South Carolina,78,Final Preview Lines Recap Box
NCAAB,998,Hartford,80,Rider,82,Final OT Lines Recap Box
NCAAB,998,Hillsdale Free Will Baptist,48,Abliene Christian,90,Final Lines Recap Box
NCAAB,998,Kent,61,No Carolina A&T,60,Final Lines Recap Box
NCAAB,998,Lafayette,70,Colgate,77,Final Lines Recap Box
NCAAB,998,Lees Mcrae,60,Usc Upstate,88,Final Lines Recap Box
NCAAB,998,Louisiana Coll,56,Alcorn St,58,Final Lines Recap Box
NCAAB,998,Mars Hill,62,Westrn Carolina,82,Final Lines Recap Box
NCAAB,998,Massachusetts Lowell,62,Wagner,76,Final Lines Recap Box
NCAAB,998,Mercer,76,Kennesaw State,73,Final Lines Recap Box
NCAAB,998,Miss Valley St,48,Hawaii,77,Final Lines Recap Box
NCAAB,998,Navy,58,Bucknell,88,Final Lines Recap Box
NCAAB,998,New Hampshire,67,Boston College,72,Final OT Lines Recap Box
NCAAB,998,Njit,77,St Francis Pa,65,Final Lines Recap Box
NCAAB,998,North Florida,68,Va Commonwealth,80,Final Lines Recap Box
NCAAB,998,Northland,47,North Dakota St,105,Final Lines Recap Box
NCAAB,998,Santa Barbara,88,Seattle,50,Final Lines Recap Box
NCAAB,998,Se Louisiana,64,Jackson St,91,Final Lines Recap Box
NCAAB,998,So Carolina St,68,Akron,78,Final Lines Recap Box
NCAAB,998,Trevacca Nazarene,67,Middle Tenn St,82,Final Lines Recap Box
NCAAB,998,Westminster,61,Austin Peay,112,Final Lines Recap Box
NCAAB,998,Yale,62,Central Conn,42,Final Lines Recap Box
