Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,513,Harvard (+4.5),56,Boston College (-4.5),69,Final Lines Recap Box (O/U 134.5)
NCAAB,515,Akron (+16.5),56,Villanova (-16.5),75,Final Preview Lines Recap Box (O/U 143)
NCAAB,517,Yale (+13),69,Smu (-13),71,Final Lines Recap Box (O/U 139)
NCAAB,519,Valparaiso (+6.5),67,Oregon (-6.5),73,Final Preview Lines Recap Box
NCAAB,521,Fresno St (-5.5),82,Rice (+5.5),65,Final Lines Recap Box
NCAAB,523,Stanford (+3),61,St Marys Ca (-3),78,Final Lines Recap Box (O/U 144.5)
NCAAB,525,Sw Missouri St (+5.5),70,Mississippi St (-5.5),84,Final Lines Recap Box
NCAAB,528,Minnesota (-1),68,Texas Tech (+1),81,Final Lines Recap Box (O/U 136.5)
NCAAB,529,Temple (+6.5),68,Utah (-6.5),74,Final Preview Lines Recap Box (O/U 137.5)
NCAAB,531,Butler (+3.5),75,Miami Fla (-3.5),85,Final Preview Lines Recap Box (O/U 149.5)
NCAAB,533,Towson St (-3.5),62,Bradley (+3.5),60,Final Lines Recap Box
NCAAB,536,Mississippi (-3),63,Seton Hall (+3),75,Final Lines Recap Box
NCAAB,537,Oklahoma St (-3.5),82,Long Beach St (+3.5),77,Final Lines Recap Box (O/U 136.5)
NCAAB,539,George Mason (+20.5),66,Virginia (-20.5),83,Final Preview Lines Recap Box (O/U 123)
NCAAB,541,Niagara (-5.5),73,No Carolina A&T (+5.5),72,Final Lines Recap Box
NCAAB,543,Vermont (-3),71,Buffalo (+3),77,Final Lines Recap Box
NCAAB,545,Lipscomb (+2.5),79,Fla Atlantic (-2.5),65,Final Lines Recap Box
NCAAB,547,Northeastern (-2),61,Miami-Ohio (+2),67,Final Lines Recap Box
NCAAB,549,Oral Roberts (-4.5),76,Florida Intl (+4.5),70,Final OT Lines Recap Box
NCAAB,551,Tenn Martin (+11),78,James Madison (-11),75,Final Lines Recap Box
NCAAB,553,Old Dominion (-1.5),64,St Josephs Pa (+1.5),66,Final Lines Recap Box
NCAAB,555,Purdue (-6),85,Florida (+6),70,Final Preview Lines Recap Box (O/U 141.5)
NCAAB,557,Wisconsin (-1.5),74,Va Commonwealth (+1.5),73,Final Lines Recap Box (O/U 142)
NCAAB,559,Georgetown (+6),84,Duke (-6),86,Final Preview Lines Recap Box (O/U 148.5)
NCAAB,561,Cal Poly Slo (-13.5),78,Umbc (+13.5),65,Final Lines Recap Box
NCAAB,563,Austin Peay (+2),91,Northern Colorado (-2),76,Final Lines Recap Box
NCAAB,566,Bowling Green (-4),79,Youngstown St (+4),72,Final Lines Recap Box
NCAAB,567,North Dakota (+4.5),60,Fla Gulf Coast (-4.5),73,Final Lines Recap Box
NCAAB,570,Tulsa (-8),67,Indiana St (+8),59,Final Lines Recap Box (O/U 151)
NCAAB,571,Hofstra (+4.5),84,South Carolina (-4.5),94,Final Lines Recap Box (O/U 155.5)
NCAAB,573,E Tennessee St (+17),69,Georgia Tech (-17),68,Final Lines Recap Box
NCAAB,575,Jacksonville St (+16.5),55,Ala Birmingham (-16.5),61,Final Lines Recap Box
NCAAB,577,Wyoming (-7),82,Montana St (+7),83,Final Lines Recap Box
NCAAB,579,Nebraska-Omaha (+17.5),82,Colorado (-17.5),87,Final Lines Recap Box (O/U 161.5)
NCAAB,581,Appalachian St (+6.5),48,Tulane (-6.5),76,Final Lines Recap Box
NCAAB,583,Oakland (+7.5),89,Colorado St (-7.5),95,Final Lines Recap Box
NCAAB,585,Gardner Webb (+13),64,Tennessee (-13),89,Final Lines Recap Box (O/U 150)
NCAAB,587,Northwestern St (+29),42,Arizona (-29),61,Final Preview Lines Recap Box (O/U 164.5)
NCAAB,589,Se Louisiana (+15.5),65,Nebraska (-15.5),92,Final Lines Recap Box (O/U 149.5)
NCAAB,998,Abliene Christian,57,Portland,87,Final Lines Recap Box
NCAAB,998,Alcorn St,66,Texas El Paso,88,Final Lines Recap Box
NCAAB,998,Antelope Valley,62,Loyola Marymnt,86,Final Lines Recap Box
NCAAB,998,Ark Pine Bluff,50,Cincinnati,99,Final Lines Recap Box
NCAAB,998,Army,81,Geo Washington,92,Final Lines Recap Box
NCAAB,998,Goucher,47,Navy,76,Final Lines Recap Box
NCAAB,998,Holy Cross,56,Quinnipiac,62,Final Lines Recap Box
NCAAB,998,Jackson St,69,Arkansas St,78,Final Lines Recap Box
NCAAB,998,Lehigh,61,Columbia,88,Final Lines Recap Box
NCAAB,998,Longwood,97,Eastern Ky,110,Final Lines Recap Box
NCAAB,998,Lsu-Shreveport,64,Stephen Austin,88,Final Lines Recap Box
NCAAB,998,Minnesota-Duluth,74,Wisc Green Bay,94,Final Lines Recap Box
NCAAB,998,Nc Central,77,Long Island,78,Final Lines Recap Box
NCAAB,998,Portland St,79,Texas-Rio Grande Valley,61,Final Lines Recap Box
NCAAB,998,Robert Morris,52,Air Force,64,Final Lines Recap Box
NCAAB,998,So Carolina St,60,Ball St,72,Final Lines Recap Box
