Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,523,Missouri (+9.5),59,Georgia (-9.5),77,Final Lines Recap Box (O/U 134.5)
NCAAB,525,Georgia Tech (+8.5),84,Pittsburgh (-8.5),89,Final Preview Lines Recap Box
NCAAB,527,Duke (-7.5),91,Wake Forest (+7.5),75,Final Preview Lines Recap Box (O/U 158.5)
NCAAB,529,Duquesne (+7),66,Davidson (-7),77,Final Lines Recap Box
NCAAB,531,Lasalle (+9),61,Fordham (-9),66,Final Lines Recap Box
NCAAB,533,Seton Hall (+15),63,Villanova (-15),72,Final Preview Lines Recap Box (O/U 140.5)
NCAAB,535,Rutgers (+23),63,Maryland (-23),88,Final Preview Lines Recap Box (O/U 141)
NCAAB,537,Florida (-4.5),69,Tennessee (+4.5),83,Final Lines Recap Box (O/U 143.5)
NCAAB,539,South Florida (+8),64,Central Florida (-8),75,Final Lines Recap Box (O/U 133.5)
NCAAB,541,Miami-Ohio (+3.5),62,Bowling Green (-3.5),73,Final Lines Recap Box
NCAAB,543,East Michigan (+3.5),99,Central Mich (-3.5),80,Final Lines Recap Box
NCAAB,545,Toledo (-2),69,Ball St (+2),87,Final Lines Recap Box
NCAAB,547,Geo Washington (-9.5),62,St Louis (+9.5),65,Final Lines Recap Box
NCAAB,549,Ohio (-2),69,Northern Illinois (+2),80,Final Lines Recap Box
NCAAB,551,Loyola Chi (+7),52,Illinois St (-7),54,Final Lines Recap Box
NCAAB,553,Northern Iowa (-6.5),58,Sw Missouri St (+6.5),59,Final Lines Recap Box
NCAAB,555,Southern Ill (-11),65,Bradley (+11),44,Final Lines Recap Box
NCAAB,557,Evansville (+10),64,Wichita St (-10),67,Final Lines Recap Box
NCAAB,559,Indiana St (-1),79,Drake (+1),69,Final Lines Recap Box
NCAAB,561,Massachusetts (+13.5),63,Dayton (-13.5),93,Final Preview Lines Recap Box (O/U 142.5)
NCAAB,563,St Bonaventure (-3.5),77,George Mason (+3.5),58,Final Lines Recap Box
NCAAB,565,Texas A&M (-7),61,Mississippi St (+7),60,Final Preview Lines Recap Box (O/U 145.5)
NCAAB,567,Texas Tech (+11),69,Iowa St (-11),76,Final Preview Lines Recap Box (O/U 155.5)
NCAAB,569,Xavier (-15),74,St Johns (+15),66,Final Preview Lines Recap Box (O/U 142.5)
NCAAB,571,Ohio St (+2),65,Northwestern (-2),56,Final Lines Recap Box (O/U 135.5)
NCAAB,573,Air Force (+5),52,Wyoming (-5),64,Final Lines Recap Box
NCAAB,575,California (+3.5),65,Oregon (-3.5),68,Final Lines Recap Box (O/U 142)
NCAAB,577,Nev Las Vegas (-4),65,Colorado St (+4),66,Final Lines Recap Box
NCAAB,579,Nevada (+7.5),63,Fresno St (-7.5),85,Final Lines Recap Box
NCAAB,581,San Jose St (+19),62,San Diego St (-19),77,Final Lines Recap Box
NCAAB,583,Long Beach St (-5),94,Northridge St (+5),79,Final Lines Recap Box
NCAAB,585,Stanford (+6),78,Oregon St (-6),72,Final Lines Recap Box (O/U 134)
NCAAB,589,South Dakota (+5),65,Iupu Fort Wayne (-5),85,Final Lines Recap Box
NCAAB,591,Tennessee St (-1.5),66,Eastern Ill (+1.5),61,Final Lines Recap Box
NCAAB,593,Oral Roberts (+5.5),75,Denver (-5.5),78,Final Lines Recap Box
NCAAB,595,Belmont (-11.5),85,Siu-Edwardsville (+11.5),77,Final Lines Recap Box
NCAAB,998,American,54,Bucknell,72,Final Lines Recap Box
NCAAB,998,Campbell,68,Gardner Webb,71,Final Lines Recap Box
NCAAB,998,Charleston Sou,73,Radford,80,Final Lines Recap Box
NCAAB,998,Colgate,63,Holy Cross,65,Final Lines Recap Box
NCAAB,998,Cornell,84,Howard,81,Final Lines Recap Box
NCAAB,998,Hampton,83,Morgan St,80,Final OT Lines Recap Box
NCAAB,998,Hartford,76,Massachusetts Lowell,80,Final Lines Recap Box
NCAAB,998,Jarvis Christ,58,Grambling,80,Final Lines Recap Box
NCAAB,998,Johnson & Wales (nc),70,Nc Central,78,Final Lines Recap Box
NCAAB,998,Lafayette,76,Army,73,Final Lines Recap Box
NCAAB,998,Lehigh,50,Loyola Md,51,Final Lines Recap Box
NCAAB,998,Liberty,62,Coast Carolina,61,Final Lines Recap Box
NCAAB,998,Longwood,65,Presbyterian,78,Final Lines Recap Box
NCAAB,998,Md Eastrn Shore,75,Columbia,81,Final Lines Recap Box
NCAAB,998,Navy,83,Boston U,67,Final Lines Recap Box
NCAAB,998,Njit,65,Yale,83,Final Lines Recap Box
NCAAB,998,North Florida,97,Stetson,79,Final Lines Recap Box
NCAAB,998,Stony Brook,62,Binghamton,52,Final Lines Recap Box
NCAAB,998,Umbc,59,Albany Ny,73,Final Lines Recap Box
NCAAB,998,Vermont,90,Maine,72,Final Lines Recap Box
NCAAB,998,Winthrop,84,Nc Asheville,85,Final Lines Recap Box
