Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,521,Texas Tech (-3.5),76,Tcu (+3.5),69,Final Lines Recap Box (O/U 133.5)
NCAAB,523,Syracuse (+11.5),64,Duke (-11.5),62,Final Preview Lines Recap Box (O/U 144.5)
NCAAB,525,Valparaiso (-18),96,Youngstown St (+18),65,Final Lines Recap Box
NCAAB,527,Detroit Mercy (+6),76,Wright St (-6),77,Final Lines Recap Box
NCAAB,529,Illinois Chi (+10.5),53,Cleveland St (-10.5),70,Final Lines Recap Box
NCAAB,531,Purdue (-21),107,Rutgers (+21),57,Final Preview Lines Recap Box (O/U 143)
NCAAB,533,Arkansas Lr (-7),73,Arkansas St (+7),76,Final Lines Recap Box
NCAAB,535,Oklahoma (+2),77,Iowa St (-2),82,Final Preview Lines Recap Box (O/U 169)
NCAAB,537,Siena (+7.5),69,Monmouth (-7.5),85,Final Lines Recap Box
NCAAB,539,Loyola Md (+6.5),84,Boston U (-6.5),87,Final OT Lines Recap Box (O/U 140)
NCAAB,541,Hampton (+1),80,Nc Central (-1),79,Final Lines Recap Box (O/U 140)
NCAAB,998,Alcorn St,73,Ark Pine Bluff,65,Final Lines Recap Box
NCAAB,998,Binghamton,59,Albany Ny,80,Final Lines Recap Box
NCAAB,998,Coppin St,70,Florida A&M,66,Final Lines Recap Box
NCAAB,998,Delaware St,47,Savannah St,64,Final Lines Recap Box
NCAAB,998,Lamar,70,Se Louisiana,98,Final Lines Recap Box
NCAAB,998,Massachusetts Lowell,93,Vermont,82,Final Lines Recap Box
NCAAB,998,Md Eastrn Shore,63,So Carolina St,68,Final Lines Recap Box
NCAAB,998,Morgan St,50,Bethune Cookman,62,Final Lines Recap Box
NCAAB,998,New Hampshire,99,Maine,91,Final Lines Recap Box
NCAAB,998,Nicholls St,76,Sam Houston,87,Final Lines Recap Box
NCAAB,998,Norfolk St,75,No Carolina A&T,68,Final Lines Recap Box
NCAAB,998,Prairie View,57,Jackson St,60,Final Lines Recap Box
NCAAB,998,Southern,67,Miss Valley St,54,Final Lines Recap Box
NCAAB,998,Stephen Austin,82,New Orleans,58,Final Lines Recap Box
NCAAB,998,Stony Brook,77,Hartford,43,Final Lines Recap Box
NCAAB,998,Texas Southern,69,Grambling,54,Final Lines Recap Box
