Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,519,North Carolina (+1.5),65,Louisville (-1.5),71,Final Preview Lines Recap Box (O/U 147.5)
NCAAB,521,Oakland (-6.5),85,Northern Ky (+6.5),74,Final Lines Recap Box
NCAAB,523,Smu (-6),68,Houston (+6),71,Final Preview Lines Recap Box (O/U 142)
NCAAB,525,No Carolina St (+6),73,Florida St (-6),77,Final Lines Recap Box (O/U 146)
NCAAB,527,Texas (+4.5),67,Baylor (-4.5),59,Final Preview Lines Recap Box (O/U 140.5)
NCAAB,529,Iona (-5.5),75,St Peters (+5.5),67,Final Lines Recap Box
NCAAB,531,Monmouth (-1),93,Siena (+1),87,Final Lines Recap Box
NCAAB,533,Quinnipiac (+9),64,Fairfield (-9),59,Final Lines Recap Box
NCAAB,535,The Citadel (+19),85,Tennessee Chat (-19),125,Final Lines Recap Box
NCAAB,537,Mercer (-2.5),85,Samford (+2.5),70,Final Lines Recap Box
NCAAB,539,Howard (+3.5),67,Md Eastrn Shore (-3.5),85,Final Lines Recap Box (O/U 142.5)
NCAAB,998,Cheyney,70,Delaware St,86,Final Lines Recap Box
NCAAB,998,Colgate,65,Loyola Md,68,Final Lines Recap Box
NCAAB,998,Coppin St,43,Morgan St,83,Final Lines Recap Box
NCAAB,998,Fla Gulf Coast,80,Jacksonville,83,Final Lines Recap Box
NCAAB,998,Grambling,59,Miss Valley St,72,Final Lines Recap Box
NCAAB,998,Holy Cross,45,American,58,Final Lines Recap Box
NCAAB,998,Jackson St,66,Ark Pine Bluff,53,Final Lines Recap Box
NCAAB,998,Mcneese St,80,Se Louisiana,82,Final Lines Recap Box
NCAAB,998,Navy,64,Army,50,Final Lines Recap Box
NCAAB,998,Nc Central,81,Florida A&M,63,Final Lines Recap Box
NCAAB,998,Nicholls St,53,New Orleans,74,Final Lines Recap Box
NCAAB,998,Njit,90,Lipscomb,78,Final Lines Recap Box
NCAAB,998,Prairie View,77,Alabama St,83,Final Lines Recap Box
NCAAB,998,Sam Houston,69,Lamar,66,Final Lines Recap Box
NCAAB,998,St Ambrose,59,Eastern Ill,101,Final Lines Recap Box
NCAAB,998,Stetson,86,North Florida,82,Final Lines Recap Box
NCAAB,998,Texas Southern,71,Alabama A&M,66,Final Lines Recap Box
NCAAB,998,Usc Upstate,62,Kennesaw State,75,Final Lines Recap Box
