Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,723,Pennsylvania (+26.5),57,Villanova (-26.5),77,Final Preview Lines Recap Box (O/U 131.5)
NCAAB,725,Detroit Mercy (+3.5),73,East Michigan (-3.5),88,Final Lines Recap Box
NCAAB,727,Elon (+24.5),66,Duke (-24.5),105,Final Preview Lines Recap Box (O/U 158.5)
NCAAB,729,Davidson (+9),60,California (-9),86,Final Lines Recap Box (O/U 154.5)
NCAAB,731,Santa Barbara (+9),83,Washington (-9),78,Final Lines Recap Box (O/U 154)
NCAAB,733,Nc Greensboro (+27.5),63,North Carolina (-27.5),96,Final Preview Lines Recap Box (O/U 152.5)
NCAAB,735,Wisc Green Bay (+5),78,Morehead St (-5),72,Final Lines Recap Box
NCAAB,737,Cornell (+7),65,St Peters (-7),62,Final Lines Recap Box
NCAAB,739,Indiana Purdue (+24),54,Butler (-24),92,Final Preview Lines Recap Box (O/U 151.5)
NCAAB,741,Drexel (+9),70,Iona (-9),77,Final Lines Recap Box
NCAAB,743,Valparaiso (-4),81,Belmont (+4),85,Final Lines Recap Box
NCAAB,747,Massachusetts Lowell (+6),66,Rutgers (-6),89,Final Lines Recap Box (O/U 147)
NCAAB,749,Coppin St (+30.5),77,Creighton (-30.5),102,Final Lines Recap Box (O/U 164)
NCAAB,998,Albertson,74,Utah,115,Final Preview Lines Recap Box
NCAAB,998,Bethune Cookman,73,Brown,81,Final Lines Recap Box
NCAAB,998,Brescia,66,Western Kentucky,93,Final Lines Recap Box
NCAAB,998,Cairn University,52,Longwood,90,Final Lines Recap Box
NCAAB,998,Cal Davis,75,Seattle,80,Final OT Lines Recap Box
NCAAB,998,Cal Riverside,81,Morgan St,72,Final Lines Recap Box
NCAAB,998,Campbell,83,Nc Wilmington,106,Final Lines Recap Box
NCAAB,998,Chicago St,93,Oakland,101,Final Lines Recap Box
NCAAB,998,Cs-Bakersfield,59,Arizona St,75,Final Lines Recap Box
NCAAB,998,Delaware St,47,Tcu,75,Final Lines Recap Box
NCAAB,998,Fla Gulf Coast,81,South Dakota,89,Final OT Lines Recap Box
NCAAB,998,Grand Canyon,86,Siu-Edwardsville,75,Final Lines Recap Box
NCAAB,998,Hannibal-Lagrange,53,Eastern Ill,78,Final Lines Recap Box
NCAAB,998,Howard,59,Columbia,72,Final Lines Recap Box
NCAAB,998,Kean,53,Boston U,86,Final Lines Recap Box
NCAAB,998,Methodist,50,High Point,96,Final Lines Recap Box
NCAAB,998,Middle Georgia State,78,Gardner Webb,101,Final Lines Recap Box
NCAAB,998,Monmouth,84,Army,91,Final Lines Recap Box
NCAAB,998,Multnomah,47,Weber St,114,Final Lines Recap Box
NCAAB,998,Nicholls St,49,Houston,76,Final Lines Recap Box
NCAAB,998,Pacific Union,49,Sacramento St,78,Final Lines Recap Box
NCAAB,998,Prairie View,58,Louisiana Tech,77,Final Lines Recap Box
NCAAB,998,Rio Grande,84,Winthrop,116,Final Lines Recap Box
NCAAB,998,Sacred Heart,73,Hofstra,80,Final Lines Recap Box
NCAAB,998,Stony Brook,83,Njit,61,Final Lines Recap Box
NCAAB,998,Texas A&M Cc,74,Austin Peay,70,Final Lines Recap Box
NCAAB,998,Utah Valley St,50,St Marys Ca,65,Final Lines Recap Box
