Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,669,Santa Barbara,57,Hawaii,65,Final Lines Recap Box
NCAAB,819,Michigan St (-10),92,Penn St (+10),65,Final Preview Lines Recap Box (O/U 136)
NCAAB,821,Louisville (-6.5),62,Clemson (+6.5),66,Final Preview Lines Recap Box
NCAAB,823,Rhode Island (+3),67,St Josephs Pa (-3),72,Final Lines Recap Box (O/U 140.5)
NCAAB,825,Cincinnati (-15.5),54,South Florida (+15.5),51,Final Lines Recap Box (O/U 131.5)
NCAAB,827,Tulsa (-7),81,Tulane (+7),67,Final Lines Recap Box
NCAAB,829,Ohio St (+6),60,Indiana (-6),85,Final Lines Recap Box (O/U 146)
NCAAB,831,Valparaiso (-7.5),92,Detroit Mercy (+7.5),74,Final Lines Recap Box
NCAAB,833,Richmond (-3.5),93,Fordham (+3.5),82,Final Lines Recap Box (O/U 143.5)
NCAAB,835,Illinois Chi (+21),61,Oakland (-21),86,Final Lines Recap Box
NCAAB,837,Central Florida (+19),73,Smu (-19),88,Final Preview Lines Recap Box (O/U 141.5)
NCAAB,839,Va Commonwealth (-9.5),72,St Louis (+9.5),56,Final Lines Recap Box (O/U 135)
NCAAB,841,Purdue (-9),70,Illinois (+9),84,Final Preview Lines Recap Box (O/U 140)
NCAAB,843,Villanova (-4.5),60,Butler (+4.5),55,Final Preview Lines Recap Box (O/U 150.5)
NCAAB,845,No Carolina St (+2.5),74,Wake Forest (-2.5),77,Final Lines Recap Box (O/U 147.5)
NCAAB,847,Stanford (+9),58,Oregon (-9),71,Final Lines Recap Box (O/U 140.5)
