Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,675,Portland,67,Gonzaga,92,Final Lines Recap Box
NCAAB,835,Illinois (+4),79,Penn St (-4),86,Final OT Lines Recap Box (O/U 135)
NCAAB,837,Smu (+2),54,Cincinnati (-2),61,Final Preview Lines Recap Box (O/U 130.5)
NCAAB,839,Nebraska (+5),54,Northwestern (-5),65,Final Lines Recap Box (O/U 132.5)
NCAAB,841,Temple (-7),64,Tulane (+7),56,Final Lines Recap Box
NCAAB,843,Central Florida (+17),46,Connecticut (-17),67,Final Lines Recap Box (O/U 132)
NCAAB,845,Memphis (-4.5),83,East Carolina (+4.5),53,Final Lines Recap Box (O/U 149.5)
NCAAB,847,Wisc Milwaukee (-3),61,Wisc Green Bay (+3),70,Final Lines Recap Box
NCAAB,849,Detroit Mercy (+1.5),72,Wright St (-1.5),82,Final Lines Recap Box
NCAAB,851,Northern Iowa (-1),56,Evansville (+1),54,Final Lines Recap Box (O/U 122.5)
NCAAB,853,William & Mary (+1.5),67,Hofstra (-1.5),70,Final Lines Recap Box (O/U 156.5)
NCAAB,855,Northeastern (+3.5),70,Nc Wilmington (-3.5),73,Final Lines Recap Box (O/U 139)
NCAAB,857,North Dakota St (-5),60,Indiana Purdue (+5),45,Final Lines Recap Box
NCAAB,859,Denver (+4.5),78,Nebraska-Omaha (-4.5),70,Final Lines Recap Box
NCAAB,861,Westrn Carolina (+8),69,Tennessee Chat (-8),73,Final Lines Recap Box
NCAAB,863,Furman (+1),76,E Tennessee St (-1),84,Final Lines Recap Box
NCAAB,865,Fairfield (+9.5),63,Monmouth (-9.5),76,Final Lines Recap Box
NCAAB,868,Iona (-2.5),83,Siena (+2.5),70,Final Lines Recap Box
NCAAB,871,Holy Cross (+9),60,Army (-9),38,Final Lines Recap Box (O/U 138)
NCAAB,873,American (+11.5),62,Lehigh (-11.5),78,Final Lines Recap Box (O/U 124.5)
NCAAB,875,Nc Asheville (-1.5),77,Winthrop (+1.5),68,Final Lines Recap Box (O/U 153)
NCAAB,877,Stetson (+10.5),78,Fla Gulf Coast (-10.5),80,Final OT Lines Recap Box (O/U 147)
NCAAB,879,Maryland (+4.5),62,Indiana (-4.5),80,Final Preview Lines Recap Box (O/U 148.5)
NCAAB,881,Wisconsin (+6),80,Purdue (-6),91,Final Preview Lines Recap Box (O/U 128.5)
