Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAF,105,Memphis (-7),24,South Florida (+7),17,Final Lines Recap Box (O/U 58)
NCAAF,107,Temple (-20),37,Charlotte (+20),3,Final Lines Recap Box (O/U 43)
NCAAF,109,Connecticut (+14.5),13,Byu (-14.5),30,Final Lines Recap Box (O/U 44)
NCAAF,998,Colgate,28,Cornell,21,Final Lines Recap Box
NCAAF,998,Columbia,5,Princeton,10,Final Lines Recap Box
NCAAF,998,Georgetown,0,Harvard,45,Final Lines Recap Box
NCAAF,998,Southern Utah,44,Weber St,0,Final Lines Recap Box
