Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAF,315,E Michigan (+28),21,Northern Illinois (-28),49,Final Lines Recap Box (O/U 65)
NCAAF,317,Central Mich (-7),23,Ball St (+7),21,Final Lines Recap Box (O/U 55.5)
NCAAF,319,Toledo (-14),51,Massachusetts (+14),35,Final Preview Lines Recap Box (O/U 61)
NCAAF,321,Bowling Green (-13.5),48,Kent (+13.5),0,Final Lines Recap Box (O/U 59.5)
NCAAF,323,Ohio (-3),17,Buffalo (+3),41,Final Lines Recap Box (O/U 52)
NCAAF,325,Pittsburgh (-9),23,Syracuse (+9),20,Final Preview Lines Recap Box (O/U 49)
NCAAF,327,Indiana (+14.5),26,Michigan St (-14.5),52,Final Preview Lines Recap Box (O/U 59)
NCAAF,329,Clemson (-8),58,Miami Fla (+8),0,Final Preview Lines Recap Box (O/U 56)
NCAAF,331,No Carolina St (-8),35,Wake Forest (+8),17,Final Preview Lines Recap Box (O/U 43.5)
NCAAF,333,Missouri (PK),3,Vanderbilt (PK),10,Final Preview Lines Recap Box (O/U 34.5)
NCAAF,335,Miami-Ohio (+24),13,Western Michigan (-24),35,Final Lines Recap Box (O/U 53.5)
NCAAF,337,Tulane (+25.5),14,Navy (-25.5),31,Final Preview Lines Recap Box (O/U 56.5)
NCAAF,339,Wyoming (+34.5),14,Boise St (-34.5),34,Final Lines Recap Box (O/U 59.5)
NCAAF,341,Fresno St (+16.5),14,Air Force (-16.5),42,Final Lines Recap Box (O/U 53)
NCAAF,343,North Texas (+27),13,Marshall (-27),30,Final Lines Recap Box (O/U 59)
NCAAF,345,Utah (+6),24,Usc (-6),42,Final Preview Lines Recap Box (O/U 57)
NCAAF,347,Washington (+14),14,Stanford (-14),31,Final Preview Lines Recap Box (O/U 47)
NCAAF,349,Tennessee (+14.5),14,Alabama (-14.5),19,Final Preview Lines Recap Box (O/U 48.5)
NCAAF,351,Kansas St (+7),9,Texas (-7),23,Final Preview Lines Recap Box (O/U 46.5)
NCAAF,353,Texas A&M (+6.5),3,Mississippi (-6.5),23,Final Preview Lines Recap Box (O/U 65.5)
NCAAF,355,Virginia (+17),13,North Carolina (-17),26,Final Preview Lines Recap Box (O/U 58.5)
NCAAF,357,Northwestern (+7),30,Nebraska (-7),28,Final Preview Lines Recap Box (O/U 50.5)
NCAAF,359,Wisconsin (-4),24,Illinois (+4),13,Final Preview Lines Recap Box (O/U 46.5)
NCAAF,361,Duke (+3.5),45,Virginia Tech (-3.5),43,Final OT Preview Lines Recap Box (O/U 45.5)
NCAAF,363,La Monroe (+1.5),13,Idaho (-1.5),27,Final Lines Recap Box (O/U 57.5)
NCAAF,365,Houston (-20.5),59,Central Florida (+20.5),10,Final Preview Lines Recap Box (O/U 52.5)
NCAAF,367,Colorado (+1),17,Oregon St (-1),13,Final Preview Lines Recap Box (O/U 59.5)
NCAAF,369,Iowa St (+36),27,Baylor (-36),45,Final Preview Lines Recap Box (O/U 73)
NCAAF,371,Penn St (-5),31,Maryland (+5),30,Final Preview Lines Recap Box (O/U 46.5)
NCAAF,373,Army (+6.5),31,Rice (-6.5),38,Final Lines Recap Box (O/U 53)
NCAAF,377,Boston College (+7),14,Louisville (-7),17,Final Preview Lines Recap Box (O/U 37)
NCAAF,379,Middle Tenn St (+6.5),16,La Tech (-6.5),45,Final Lines Recap Box (O/U 63.5)
NCAAF,381,Connecticut (+10.5),13,Cincinnati (-10.5),37,Final Lines Recap Box (O/U 57.5)
NCAAF,383,Smu (+11.5),14,South Florida (-11.5),38,Final Lines Recap Box (O/U 63.5)
NCAAF,385,South Alabama (-1.5),18,Texas State (+1.5),36,Final Lines Recap Box (O/U 63.5)
NCAAF,387,Old Dominion (+13),12,Florida Intl (-13),41,Final Lines Recap Box (O/U 53)
NCAAF,389,Kentucky (+13),16,Mississippi St (-13),42,Final Preview Lines Recap Box (O/U 59)
NCAAF,391,Auburn (+7),46,Arkansas (-7),54,Final OT Preview Lines Recap Box (O/U 54.5)
NCAAF,393,Texas Tech (+14),27,Oklahoma (-14),63,Final Preview Lines Recap Box (O/U 72)
NCAAF,395,Kansas (+33.5),10,Oklahoma St (-33.5),58,Final Preview Lines Recap Box (O/U 56)
NCAAF,397,Florida St (-5.5),16,Georgia Tech (+5.5),22,Final Preview Lines Recap Box (O/U 55.5)
NCAAF,399,Ohio St (-21.5),49,Rutgers (+21.5),7,Final Preview Lines Recap Box (O/U 63)
NCAAF,401,Western Kentucky (+15),20,Lsu (-15),48,Final Preview Lines Recap Box (O/U 64.5)
NCAAF,403,Fla Atlantic (-4.5),17,Texas El Paso (+4.5),27,Final Lines Recap Box (O/U 54)
NCAAF,405,Troy (-3),52,New Mexico St (+3),7,Final Lines Recap Box (O/U 58)
NCAAF,407,New Mexico (+7.5),21,San Jose St (-7.5),31,Final Lines Recap Box (O/U 55)
NCAAF,409,Hawaii (+7),20,Nevada (-7),30,Final Lines Recap Box (O/U 52.5)
NCAAF,411,Washington St (+5.5),45,Arizona (-5.5),42,Final Preview Lines Recap Box (O/U 73)
NCAAF,421,Wagner (+50.5),6,Byu (-50.5),70,Final Lines Recap Box
NCAAF,998,Ark Pine Bluff,3,Jackson St,37,Final Lines Recap Box
NCAAF,998,Brown,44,Cornell,24,Final Lines Recap Box
NCAAF,998,Butler,24,Dayton,27,Final Lines Recap Box
NCAAF,998,Central Arkansas,35,Lamar,17,Final Lines Recap Box
NCAAF,998,Central Conn,26,Sacred Heart,10,Final Lines Recap Box
NCAAF,998,Char Southern,34,Gardner Webb,0,Final Lines Recap Box
NCAAF,998,Coastal Carolina,23,Monmouth,20,Final Lines Recap Box
NCAAF,998,Columbia,9,Dartmouth,13,Final Lines Recap Box
NCAAF,998,Duquesne,16,Robert Morris,7,Final Lines Recap Box
NCAAF,998,E Tennessee,7,Montana St,63,Final Lines Recap Box
NCAAF,998,Eastern Wash,43,No Colorado,41,Final Lines Recap Box
NCAAF,998,Georgetown,17,Bucknell,9,Final Lines Recap Box
NCAAF,998,Hampton,7,William & Mary,40,Final Lines Recap Box
NCAAF,998,Howard,14,No Carolina A&T,65,Final Lines Recap Box
NCAAF,998,Idaho St,13,Sacramento State,38,Final Lines Recap Box
NCAAF,998,Jacksonville,27,Austin Peay,7,Final Lines Recap Box
NCAAF,998,Jacksonville,24,Drake,28,Final Lines Recap Box
NCAAF,998,Kennesaw State,35,Liberty,45,Final Lines Recap Box
NCAAF,998,Lafayette,0,Holy Cross,42,Final Lines Recap Box
NCAAF,998,Lehigh,42,Fordham,59,Final Lines Recap Box
NCAAF,998,Marist,31,Davidson,10,Final Lines Recap Box
NCAAF,998,Miss Valley,14,Grambling,49,Final Lines Recap Box
NCAAF,998,Missouri St,10,South Dakota,40,Final Lines Recap Box
NCAAF,998,Morehead St,31,Campbell,27,Final Lines Recap Box
NCAAF,998,Morgan St,17,Nc Central,20,Final Lines Recap Box
NCAAF,998,Murray St,45,Tenn Martin,52,Final Lines Recap Box
NCAAF,998,N Hampshire,14,Delaware,31,Final Lines Recap Box
NCAAF,998,Nicholls St,7,Sam Houston,37,Final Lines Recap Box
NCAAF,998,No Dakota St,28,Indiana St,14,Final Lines Recap Box
NCAAF,998,Norfolk St,49,Bethune Cookman,59,Final Lines Recap Box
NCAAF,998,North Dakota,16,Montana,42,Final Lines Recap Box
NCAAF,998,Northern Iowa,10,South Dakota St,7,Final Lines Recap Box
NCAAF,998,Northwestern St,27,Mcneese St,47,Final Lines Recap Box
NCAAF,998,Portland St,38,Cal Poly Slo,35,Final Lines Recap Box
NCAAF,998,Princeton,7,Harvard,42,Final Lines Recap Box
NCAAF,998,Richmond,59,James Madison,49,Final Lines Recap Box
NCAAF,998,Samford,36,Westrn Carolina,56,Final Lines Recap Box
NCAAF,998,Se Louisiana,22,Houston Baptist,7,Final Lines Recap Box
