Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAF,149,Colorado (-7),20,Hawaii (+7),28,Final Preview Lines Recap Box (O/U 60.5)
NCAAF,151,Baylor (-35.5),56,Smu (+35.5),21,Final Preview Lines Recap Box (O/U 71)
NCAAF,153,Charlotte (+7),23,Georgia State (-7),20,Final Lines Recap Box (O/U 70)
NCAAF,155,Michigan St (-16),37,Western Michigan (+16),24,Final Preview Lines Recap Box (O/U 55.5)
NCAAF,159,Washington (+12.5),13,Boise St (-12.5),16,Final Preview Lines Recap Box (O/U 53.5)
NCAAF,319,Fordham (+13),37,Army (-13),35,Final Lines Recap Box
NCAAF,321,Rhode Island (+33.5),0,Syracuse (-33.5),47,Final Preview Lines Recap Box
NCAAF,323,Weber St (+28),7,Oregon St (-28),26,Final Preview Lines Recap Box
NCAAF,998,Jacksonville,20,Delaware,14,Final Lines Recap Box
NCAAF,998,Lehigh,20,Central Conn,14,Final Lines Recap Box
