Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAF,309,Byu (+7),0,Michigan (-7),31,Final Preview Lines Recap Box (O/U 46)
NCAAF,311,Army (-1),58,E Michigan (+1),36,Final Preview Lines Recap Box (O/U 55)
NCAAF,313,Nevada (+1),24,Buffalo (-1),21,Final Lines Recap Box (O/U 54.5)
NCAAF,315,Central Mich (+26),10,Michigan St (-26),30,Final Preview Lines Recap Box (O/U 54.5)
NCAAF,317,Southern Miss (+20.5),28,Nebraska (-20.5),36,Final Preview Lines Recap Box (O/U 67)
NCAAF,319,Missouri (+2.5),13,Kentucky (-2.5),21,Final Preview Lines Recap Box (O/U 44.5)
NCAAF,321,Texas State (+17),14,Houston (-17),59,Final Lines Recap Box (O/U 73)
NCAAF,323,Navy (-7),28,Connecticut (+7),18,Final Preview Lines Recap Box (O/U 48)
NCAAF,325,Virginia Tech (-10),28,East Carolina (+10),35,Final Preview Lines Recap Box (O/U 50)
NCAAF,327,San Diego St (+14),21,Penn St (-14),37,Final Preview Lines Recap Box (O/U 40)
NCAAF,329,Bowling Green (-5),35,Purdue (+5),28,Final Preview Lines Recap Box (O/U 75)
NCAAF,331,Kansas (+14),14,Rutgers (-14),27,Final Preview Lines Recap Box (O/U 63)
NCAAF,333,Western Michigan (+33.5),12,Ohio St (-33.5),38,Final Preview Lines Recap Box (O/U 62.5)
NCAAF,335,Arkansas St (+4),7,Toledo (-4),37,Final Lines Recap Box (O/U 58)
NCAAF,337,Indiana (-3.5),31,Wake Forest (+3.5),24,Final Preview Lines Recap Box (O/U 54)
NCAAF,339,Maryland (+16.5),6,West Virginia (-16.5),45,Final Lines Recap Box (O/U 56.5)
NCAAF,341,Georgia Tech (-7.5),20,Duke (+7.5),34,Final Preview Lines Recap Box (O/U 54.5)
NCAAF,343,Vanderbilt (+27),16,Mississippi (-27),27,Final Preview Lines Recap Box (O/U 53)
NCAAF,345,North Texas (+25),16,Iowa (-25),62,Final Preview Lines Recap Box (O/U 54.5)
NCAAF,347,Middle Tenn St (+3),25,Illinois (-3),27,Final Preview Lines Recap Box (O/U 62)
NCAAF,349,New Mexico (-3.5),38,Wyoming (+3.5),28,Final Lines Recap Box (O/U 58)
NCAAF,351,Florida Intl (+14),17,La Tech (-14),27,Final Lines Recap Box (O/U 55)
NCAAF,353,Rice (+32),17,Baylor (-32),70,Final Preview Lines Recap Box (O/U 74)
NCAAF,355,Texas A&M (-6.5),28,Arkansas (+6.5),21,Final OT Preview Lines Recap Box (O/U 61)
NCAAF,357,Tennessee (-1),27,Florida (+1),28,Final Preview Lines Recap Box (O/U 48)
NCAAF,359,Ohio (+8),24,Minnesota (-8),27,Final Lines Recap Box (O/U 47)
NCAAF,361,Miami-Ohio (+20),14,Western Kentucky (-20),56,Final Lines Recap Box (O/U 67)
NCAAF,363,Lsu (-24),34,Syracuse (+24),24,Final Preview Lines Recap Box (O/U 46)
NCAAF,365,Massachusetts (+28),27,Notre Dame (-28),62,Final Preview Lines Recap Box (O/U 61)
NCAAF,367,No Carolina St (-18),63,South Alabama (+18),13,Final Preview Lines Recap Box (O/U 55.5)
NCAAF,369,Geo Southern (-14.5),44,Idaho (+14.5),20,Final Lines Recap Box (O/U 66.5)
NCAAF,371,Marshall (-6.5),36,Kent (+6.5),29,Final OT Lines Recap Box (O/U 46.5)
NCAAF,373,Mississippi St (+1),17,Auburn (-1),9,Final Lines Recap Box (O/U 58)
NCAAF,375,La Monroe (+37.5),0,Alabama (-37.5),34,Final Preview Lines Recap Box (O/U 53.5)
NCAAF,377,Fla Atlantic (-10),17,Charlotte (+10),7,Final Lines Recap Box (O/U 65.5)
NCAAF,379,Tcu (-5.5),55,Texas Tech (+5.5),52,Final Preview Lines Recap Box (O/U 84.5)
NCAAF,381,Akron (+7.5),35,La Lafayette (-7.5),14,Final Lines Recap Box (O/U 52)
NCAAF,383,Colorado St (-9),33,Texas San Antonio (+9),31,Final Lines Recap Box (O/U 56)
NCAAF,385,Central Florida (+14),14,South Carolina (-14),31,Final Preview Lines Recap Box (O/U 45)
NCAAF,387,Utah (+10),62,Oregon (-10),20,Final Preview Lines Recap Box (O/U 63.5)
NCAAF,389,Appalachian St (-7),49,Old Dominion (+7),0,Final Lines Recap Box (O/U 54)
NCAAF,391,Northern Illinois (+4.5),14,Boston College (-4.5),17,Final Preview Lines Recap Box (O/U 45)
NCAAF,393,Oklahoma St (-2.5),30,Texas (+2.5),27,Final Preview Lines Recap Box (O/U 60.5)
NCAAF,395,Usc (-4),42,Arizona St (+4),14,Final Preview Lines Recap Box (O/U 61)
