Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
53,Cal State Los Angeles Golden Eagles,1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
54,Cal State Northridge Matadors,1991,2016,26,745,331,414,.444,-4.28,-1.25,0,3,2,2,0,0
55,Campbell Fighting Camels,1978,2016,39,1081,435,646,.402,-12.76,-6.82,0,1,1,1,0,0
56,Canisius Golden Griffins,1904,2016,112,2444,1240,1204,.507,-3.57,-1.46,1,7,1,4,0,0
57,Carleton College Knights,1910,1934,25,360,280,80,.778,,,0,0,0,,,
58,Carnegie Mellon Tartans,1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
59,Case Western Reserve Spartans,1898,1955,13,245,95,150,.388,-18.30,-2.67,0,0,0,0,0,0
60,Catholic Cardinals,1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
61,Centenary (LA) Gents,1960,2011,52,1435,637,798,.444,-8.73,-3.96,1,1,1,0,0,0
62,Central Arkansas Bears,2011,2016,6,148,36,112,.243,-16.71,-3.28,0,0,0,0,0,0
63,Central Connecticut State Blue Devils,1987,2016,30,843,356,487,.422,-12.09,-7.45,0,3,3,3,0,0
64,Central Florida Knights,1985,2016,32,920,448,472,.487,-5.02,-2.94,0,1,4,4,0,0
65,Central Michigan Chippewas,1974,2016,43,1191,513,678,.431,-4.01,-0.38,0,7,2,4,0,0
66,Central Missouri Mules,1913,1937,10,178,140,38,.787,,,0,0,0,,,
67,Central Normal College,1931,1931,1,19,19,0,1.000,,,0,0,0,,,
68,Central Pennsylvania College Knights,1896,1900,4,6,2,4,.333,,,0,0,0,,,
69,Centre (KY) Colonels,1910,1919,3,45,41,4,.911,,,0,0,0,,,
70,Charleston Southern Buccaneers,1975,2016,42,1169,483,686,.413,-13.83,-7.14,0,4,4,1,0,0
71,Charlotte 49ers,1973,2016,44,1281,727,554,.568,4.05,2.18,2,6,5,11,1,0
72,Chattanooga Mocs,1978,2016,39,1163,707,456,.608,-2.16,-3.50,1,18,10,10,0,0
73,Cheyenne Business College,1903,1903,1,1,1,0,1.000,,,0,0,0,,,
74,Chicago Maroons,1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
75,Chicago State Cougars,1985,2016,32,898,255,643,.284,-14.56,-1.75,0,0,1,0,0,0
76,Cincinnati Bearcats,1902,2016,115,2680,1698,982,.634,11.92,5.09,22,23,10,29,6,2
77,Citadel Bulldogs,1913,2016,104,2238,954,1284,.426,-13.59,-5.80,0,0,0,0,0,0
78,City College of New York Beavers,1906,1953,48,725,517,208,.713,-0.07,2.71,0,1,0,2,2,1
79,Clemson Tigers,1912,2016,105,2506,1255,1249,.501,4.72,3.38,5,1,1,11,0,0
80,Cleveland State Vikings,1973,2016,44,1252,643,609,.514,-2.68,-1.18,0,4,2,2,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
81,Coastal Carolina Chanticleers,1987,2016,30,856,433,423,.506,-8.54,-5.95,0,7,5,4,0,0
82,Colgate Raiders,1901,2016,116,2556,1216,1340,.476,-11.30,-5.59,0,3,2,2,0,0
83,College of Charleston Cougars,1992,2016,25,746,519,227,.696,1.30,-4.75,2,12,3,4,0,0
84,College of New Jersey Lions,1900,1900,1,5,3,2,.600,,,0,0,0,,,
85,Colorado Buffaloes,1902,2016,113,2396,1238,1158,.517,4.87,5.94,5,19,1,13,2,0
86,Colorado College Tigers,1915,1937,23,376,233,143,.620,,,0,7,0,,,
87,Colorado School of Mines Orediggers,1908,1937,28,282,80,202,.284,,,0,2,0,,,
88,Colorado State Rams,1902,2016,112,2406,1203,1203,.500,2.69,2.21,0,6,1,10,0,0
89,Columbia Lions,1901,2016,116,2504,1249,1255,.499,-7.64,-5.02,2,13,0,3,0,0
90,Concordia Seminary Preachers,1907,1923,2,16,14,2,.875,,,0,0,0,,,
91,Connecticut Huskies,1901,2016,110,2481,1587,894,.640,6.38,0.34,16,27,7,31,5,4
92,Coppin State Eagles,1986,2016,31,907,448,459,.494,-9.95,-7.77,0,10,4,4,0,0
93,Cornell Big Red,1899,2016,118,2590,1219,1371,.471,-7.61,-4.51,0,8,0,5,0,0
94,Cotner University,1910,1911,2,27,24,3,.889,,,0,0,0,,,
95,Creighton Bluejays,1912,2016,96,2447,1478,969,.604,2.74,2.74,4,15,12,19,0,0
96,Cumberland University Bulldogs,1904,1904,1,4,4,0,1.000,,,0,0,0,,,
97,Dakota Wesleyan Tigers,1932,1932,1,20,19,1,.950,,,0,0,0,,,
98,Dartmouth Big Green,1900,2016,116,2722,1272,1448,.468,-11.29,-5.36,0,12,0,7,2,0
99,Davidson Wildcats,1909,2016,107,2548,1380,1168,.542,-3.41,-3.16,6,24,12,13,0,0
100,Dayton Flyers,1904,2016,111,2636,1563,1073,.593,6.90,2.96,7,3,2,16,1,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
101,Delaware Fightin' Blue Hens,1906,2016,75,1762,881,880,.500,-8.81,-6.40,0,4,5,5,0,0
102,Delaware State Hornets,1974,2016,43,1204,503,701,.418,-15.87,-10.24,0,3,1,1,0,0
103,Denison Big Red,1905,1944,24,362,269,93,.743,,,0,0,0,0,0,0
104,Denver Pioneers,1904,2016,93,1957,889,1068,.454,-3.43,-0.54,0,4,0,0,0,0
105,DePaul Blue Demons,1924,2016,93,2364,1420,944,.601,6.07,5.64,12,2,0,22,2,0
106,DePauw Tigers,1916,1932,17,276,182,94,.659,,,0,0,0,,,
107,Detroit Mercy Titans,1910,2016,107,2526,1374,1152,.544,0.72,1.49,2,2,3,6,0,0
108,Dickinson College Red Devils,1926,1947,2,34,30,4,.882,,,0,0,0,0,0,0
109,Drake Bulldogs,1907,2016,110,2595,1189,1406,.458,0.95,3.00,5,8,1,4,1,0
110,Drexel Dragons,1895,2016,46,1228,703,525,.572,-3.17,-4.64,0,7,4,4,0,0
111,Duke Blue Devils,1906,2016,111,2919,2065,854,.707,15.76,6.37,44,22,24,39,16,5
112,Duquesne Dukes,1914,2016,100,2399,1343,1056,.560,2.47,2.11,7,2,1,5,1,0
113,East Carolina Pirates,1967,2016,50,1390,619,771,.445,-4.82,-1.50,0,0,2,2,0,0
114,East Central Tigers,1929,1931,3,74,66,8,.892,,,0,0,0,,,
115,East Tennessee State Buccaneers,1959,2016,58,1606,849,757,.529,-4.64,-3.20,1,9,8,9,0,0
116,Eastern Illinois Panthers,1982,2016,35,995,459,536,.461,-7.71,-3.96,0,0,3,2,0,0
117,Eastern Kentucky Colonels,1948,2016,66,1732,857,875,.495,-4.37,-2.59,0,7,5,8,0,0
118,Eastern Michigan Eagles,1933,2016,44,1258,590,668,.469,-3.11,-0.39,0,5,4,4,0,0
119,Eastern Washington Eagles,1984,2016,33,918,375,543,.408,-6.99,-2.20,0,3,2,2,0,0
120,Elon Phoenix,2000,2016,17,492,208,284,.423,-9.16,-4.13,0,2,0,0,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
121,Emporia State Hornets,1934,1934,1,18,17,1,.944,,,0,0,0,,,
122,Evansville Purple Aces,1925,2016,43,1176,640,536,.544,1.45,0.66,0,6,4,5,0,0
123,Fairfield Stags,1965,2016,52,1448,706,742,.488,-4.06,-2.43,0,3,3,3,0,0
124,Fairleigh Dickinson Knights,1968,2016,49,1337,643,694,.481,-9.90,-6.43,0,5,4,4,0,0
125,Florida A&M Rattlers,1980,2016,37,1064,420,644,.395,-16.42,-9.24,0,0,4,3,0,0
126,Florida Atlantic Owls,1994,2016,23,648,233,415,.360,-9.19,-2.65,0,1,1,1,0,0
127,Florida Gators,1921,2016,95,2408,1345,1062,.559,7.36,4.20,13,9,4,19,5,2
128,Florida Gulf Coast Eagles,2011,2016,6,169,96,73,.568,-2.77,-1.80,0,1,1,1,0,0
129,Florida International Panthers,1988,2016,29,826,327,499,.396,-8.70,-3.49,0,1,1,1,0,0
130,Florida State Seminoles,1957,2016,60,1723,1006,717,.584,6.65,4.16,8,2,2,14,1,0
131,Fordham Rams,1903,2016,112,2780,1468,1312,.528,-2.54,-0.06,1,4,4,4,0,0
132,Franklin Grizzlies,1907,1925,18,221,144,77,.652,,,0,0,0,,,
133,Fresno State Bulldogs,1956,2016,49,1440,800,640,.556,2.27,1.66,1,6,4,5,0,0
134,Furman Paladins,1920,2016,95,2357,1154,1203,.490,-6.99,-4.44,0,5,6,6,0,0
135,Gardner-Webb Runnin' Bulldogs,2003,2016,14,407,178,229,.437,-8.48,-2.54,0,1,0,0,0,0
136,Geneva Golden Tornadoes,1893,1943,10,125,80,45,.640,,,0,0,0,0,0,0
137,George Mason Patriots,1979,2016,38,1109,601,508,.542,-1.39,-1.76,0,4,4,6,1,0
138,George Washington Colonials,1913,2016,99,2364,1280,1084,.541,0.47,-0.12,3,7,5,11,0,0
139,Georgetown Hoyas,1907,2016,108,2600,1610,990,.619,6.53,3.58,20,11,7,30,5,1
140,Georgia Bulldogs,1906,2016,111,2605,1356,1249,.521,3.57,4.54,5,3,3,12,1,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
141,Georgia Southern Eagles,1972,2016,45,1272,641,631,.504,-7.46,-5.09,0,7,3,3,0,0
142,Georgia State Panthers,1974,2016,43,1217,511,706,.420,-8.17,-4.12,0,6,3,3,0,0
143,Georgia Tech Yellow Jackets,1920,2016,97,2461,1300,1161,.528,5.73,4.96,8,3,4,16,2,0
144,Gettysburg Bullets,1901,1973,41,724,385,339,.532,-15.98,-9.80,0,0,0,0,0,0
145,Gonzaga Bulldogs,1944,2016,65,1857,1176,681,.633,2.00,-0.93,9,20,14,18,0,0
146,Grambling Tigers,1978,2016,39,1071,388,683,.362,-17.65,-8.93,0,2,0,0,0,0
147,Grand Canyon Antelopes,2014,2016,3,65,35,30,.538,-4.34,-10.15,0,0,0,0,0,0
148,Green Bay Phoenix,1982,2016,35,1023,564,459,.551,-0.01,-0.47,0,4,3,4,0,0
149,Grinnell Pioneers,1901,1939,38,550,280,270,.509,,,0,0,0,0,0,0
150,Grove City Wolverines,1899,1925,27,383,257,126,.671,,,0,0,0,,,
151,Hamline Pipers,1945,1948,4,102,82,20,.804,,,0,0,0,0,0,0
152,Hampton Pirates,1996,2016,21,613,322,291,.525,-8.37,-9.05,0,2,5,5,0,0
153,Hardin-Simmons Cowboys,1923,1990,45,1149,481,668,.419,-11.08,-5.70,0,1,0,2,0,0
154,Hartford Hawks,1985,2016,32,911,382,529,.419,-8.72,-4.94,0,0,0,0,0,0
155,Harvard Crimson,1901,2016,105,2365,1085,1280,.459,-8.72,-4.96,0,5,0,5,0,0
156,Haskell Indian Nations Institute Fighting Indians,1903,1908,2,39,27,12,.692,,,0,0,0,,,
157,Hawaii Warriors,1971,2016,46,1317,684,633,.519,2.75,2.64,1,2,3,4,0,0
158,High Point Panthers,2000,2016,17,486,231,255,.475,-9.13,-6.21,0,3,0,0,0,0
159,Hiram Terriers,1894,1904,8,59,45,14,.763,,,0,0,0,,,
160,Hofstra Pride,1943,2016,51,1434,719,715,.501,-6.42,-4.54,0,6,5,4,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
161,Holy Cross Crusaders,1901,2016,96,2278,1355,923,.595,-1.68,-3.91,6,6,6,12,2,1
162,Hope Flying Dutchmen,1908,1913,5,65,44,21,.677,,,0,0,0,,,
163,Houston Baptist Huskies,1974,2016,22,597,252,345,.422,-12.27,-6.23,0,2,1,1,0,0
