Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,723,Colorado (+10.5),62,Iowa St (-10.5),68,Final Preview Lines Recap Box (O/U 151)
NCAAB,725,Fla Atlantic (+23.5),55,Michigan St (-23.5),82,Final Preview Lines Recap Box (O/U 141)
NCAAB,727,Elon (+4.5),85,Nc Charlotte (-4.5),74,Final Lines Recap Box (O/U 146.5)
NCAAB,729,Drexel (+10),81,St Josephs Pa (-10),82,Final Lines Recap Box (O/U 127.5)
NCAAB,731,James Madison (+9),87,Richmond (-9),75,Final Lines Recap Box (O/U 137.5)
NCAAB,733,Dartmouth (+11),67,Seton Hall (-11),84,Final Lines Recap Box (O/U 135.5)
NCAAB,736,North Carolina (-9.5),91,Temple (+9.5),67,Final Preview Lines Recap Box (O/U 144.5)
NCAAB,739,Cornell (+16.5),81,Georgia Tech (-16.5),116,Final Lines Recap Box (O/U 129)
NCAAB,741,Miami-Ohio (+15.5),72,Xavier (-15.5),81,Final Lines Recap Box (O/U 145)
NCAAB,743,Texas San Ant (+14),64,Loyola Chi (-14),76,Final Lines Recap Box (O/U 138)
NCAAB,745,Ball St (-2),53,Bradley (+2),54,Final Lines Recap Box (O/U 135)
NCAAB,747,Air Force (+5.5),75,Southern Ill (-5.5),77,Final Lines Recap Box (O/U 130.5)
NCAAB,749,William & Mary (+12.5),85,No Carolina St (-12.5),68,Final Lines Recap Box (O/U 149)
NCAAB,751,Ala Birmingham (-2),74,Auburn (+2),75,Final Lines Recap Box (O/U 149.5)
NCAAB,753,San Francisco (-1.5),78,Illinois Chi (+1.5),75,Final Lines Recap Box (O/U 148.5)
NCAAB,755,San Diego (+12.5),45,Usc (-12.5),83,Final Lines Recap Box (O/U 139.5)
NCAAB,757,Troy St (+8),82,South Florida (-8),77,Final Lines Recap Box (O/U 138)
NCAAB,761,Wisc Green Bay (+7.5),89,Stanford (-7.5),93,Final OT Lines Recap Box (O/U 143.5)
NCAAB,763,Pacific (+23),61,Arizona (-23),79,Final Preview Lines Recap Box (O/U 137.5)
NCAAB,765,Cal Poly Slo (+6.5),72,Nev Las Vegas (-6.5),74,Final Lines Recap Box (O/U 138.5)
NCAAB,767,Fullerton (+2),74,Loyola Marymnt (-2),79,Final Lines Recap Box (O/U 139.5)
NCAAB,769,Pepperdine (+2.5),66,Fresno St (-2.5),69,Final Lines Recap Box (O/U 137)
NCAAB,771,Illinois St (+9.5),60,San Diego St (-9.5),71,Final Lines Recap Box (O/U 128)
NCAAB,773,Texas (-11),71,Washington (+11),77,Final Lines Recap Box (O/U 151)
NCAAB,775,Rice (+16.5),65,California (-16.5),97,Final Preview Lines Recap Box (O/U 137)
NCAAB,777,South Dakota (+6.5),69,Wright St (-6.5),77,Final Lines Recap Box (O/U 136)
NCAAB,779,Northridge St (+9.5),71,Northern Illinois (-9.5),83,Final Lines Recap Box (O/U 134.5)
NCAAB,781,Wisc Milwaukee (-5),71,Denver (+5),58,Final Lines Recap Box (O/U 129.5)
NCAAB,783,Lipscomb (+7.5),65,Santa Clara (-7.5),63,Final OT Lines Recap Box (O/U 145)
NCAAB,786,Nevada (+2.5),73,Coast Carolina (-2.5),56,Final Lines Recap Box (O/U 140)
NCAAB,789,Eastern Ill (+25),49,Indiana (-25),88,Final Preview Lines Recap Box
NCAAB,791,Tennessee Chat (+10.5),92,Georgia (-10.5),90,Final OT Lines Recap Box
NCAAB,793,Westrn Carolina (+20),72,Cincinnati (-20),97,Final Lines Recap Box
NCAAB,795,Se Missouri St (+19),53,Dayton (-19),84,Final Lines Recap Box
NCAAB,797,Indiana Purdue (+8),72,Indiana St (-8),70,Final Lines Recap Box
NCAAB,799,Siena (+24),74,Duke (-24),92,Final Preview Lines Recap Box (O/U 155.5)
NCAAB,801,Canisius (+10.5),85,Hofstra (-10.5),96,Final Lines Recap Box
NCAAB,803,Brown (+2),65,St Peters (-2),77,Final Lines Recap Box
NCAAB,805,Niagara (+18.5),50,Old Dominion (-18.5),67,Final Lines Recap Box
NCAAB,808,Fairfield (+6.5),57,Yale (-6.5),70,Final Lines Recap Box
NCAAB,809,Samford (+23),45,Louisville (-23),86,Final Lines Recap Box
NCAAB,811,Jacksonville St (+18),83,Central Mich (-18),89,Final Lines Recap Box
NCAAB,813,North Dakota St (-3),79,Cal Davis (+3),71,Final OT Lines Recap Box
NCAAB,815,Princeton (PK),64,Rider (PK),56,Final Lines Recap Box
NCAAB,817,Sacramento St (+18),66,Arizona St (-18),63,Final Lines Recap Box
NCAAB,819,Iupu Fort Wayne (+17),64,Valparaiso (-17),78,Final Lines Recap Box
NCAAB,821,Santa Barbara (+2.5),60,Nebraska-Omaha (-2.5),59,Final Lines Recap Box
NCAAB,823,Belmont (+6),83,Marquette (-6),80,Final Lines Recap Box
NCAAB,825,Eastern Wash (+10.5),88,Mississippi St (-10.5),106,Final Lines Recap Box (O/U 151.5)
NCAAB,827,Austin Peay (+24.5),41,Vanderbilt (-24.5),80,Final Preview Lines Recap Box
NCAAB,829,Tenn Martin (+12),57,Oklahoma St (-12),91,Final Lines Recap Box
NCAAB,831,Wofford (+2.5),74,Missouri (-2.5),83,Final Lines Recap Box
NCAAB,833,Northern Colorado (+29),72,Kansas (-29),109,Final Preview Lines Recap Box
NCAAB,835,Sw Missouri St (+4.5),65,Oral Roberts (-4.5),80,Final Lines Recap Box
NCAAB,837,Northrn Arizona (+10.5),70,Washington St (-10.5),82,Final Lines Recap Box
NCAAB,839,Western Illinois (+25.5),69,Wisconsin (-25.5),67,Final Preview Lines Recap Box (O/U 133)
NCAAB,841,Utah St (+2.5),73,Weber St (-2.5),70,Final Lines Recap Box
NCAAB,843,Boise St (-5),71,Montana (+5),74,Final Lines Recap Box
NCAAB,845,Arkansas St (-4.5),70,Siu-Edwardsville (+4.5),79,Final Lines Recap Box
NCAAB,847,Southern Utah (+24),71,Utah (-24),82,Final Preview Lines Recap Box
NCAAB,849,Monmouth (+14),84,Ucla (-14),81,Final OT Lines Recap Box
NCAAB,851,Northern Ky (+23.5),61,West Virginia (-23.5),107,Final Lines Recap Box
NCAAB,853,Florida (-13),59,Navy (+13),41,Final Lines Recap Box (O/U 133.5)
NCAAB,855,Albany Ny (+20),65,Kentucky (-20),78,Final Preview Lines Recap Box (O/U 132)
NCAAB,857,Wagner (+5.5),57,St Johns (-5.5),66,Final Lines Recap Box (O/U 141.5)
NCAAB,859,Mt St Marys (+21.5),56,Maryland (-21.5),80,Final Preview Lines Recap Box (O/U 140)
NCAAB,998,Alabama A&M,68,Tulane,67,Final OT Lines Recap Box
NCAAB,998,Allen,70,Mercer,96,Final Lines Recap Box
NCAAB,998,American,42,Rhode Island,65,Final Lines Recap Box
NCAAB,998,Ark Pine Bluff,58,Seattle,56,Final Lines Recap Box
NCAAB,998,Auburn-Montgomery,68,South Alabama,88,Final Lines Recap Box
NCAAB,998,Austin,58,Lamar,101,Final Lines Recap Box
NCAAB,998,Binghamton,53,St Bonaventure,63,Final Lines Recap Box
NCAAB,998,Bristol University,62,Wyoming,101,Final Lines Recap Box
NCAAB,998,Chadron State,52,South Dakota St,87,Final Lines Recap Box
NCAAB,998,Charleston Sou,63,Wichita St,88,Final Preview Lines Recap Box
NCAAB,998,Cincinnati Christian,51,Morehead St,87,Final Lines Recap Box
NCAAB,998,Colgate,66,George Mason,53,Final Lines Recap Box
NCAAB,998,Coppin St,80,Eastern Ky,107,Final Lines Recap Box
NCAAB,998,Covenant,62,Liberty,64,Final Lines Recap Box
