Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,545,Byu (-3.5),65,Long Beach St (+3.5),66,Final Lines Recap Box (O/U 162.5)
NCAAB,715,Nevada (+5),75,Hawaii (-5),76,Final Lines Recap Box (O/U 147.5)
NCAAB,717,Valparaiso (+1),58,Rhode Island (-1),55,Final Lines Recap Box (O/U 134.5)
NCAAB,719,Alabama (+10.5),48,Dayton (-10.5),80,Final Lines Recap Box (O/U 142)
NCAAB,721,Colorado (+1),91,Auburn (-1),84,Final Lines Recap Box (O/U 148)
NCAAB,723,Oklahoma (-4),84,Memphis (+4),78,Final Preview Lines Recap Box (O/U 150)
NCAAB,725,Depaul (+5),62,Penn St (-5),68,Final Lines Recap Box (O/U 135.5)
NCAAB,727,Missouri (+13.5),66,Xavier (-13.5),78,Final Lines Recap Box (O/U 142.5)
NCAAB,729,Wisc Milwaukee (+15.5),78,Notre Dame (-15.5),86,Final Preview Lines Recap Box
NCAAB,731,San Diego (+10.5),62,Western Michigan (-10.5),74,Final Lines Recap Box
NCAAB,733,St Bonaventure (+9),66,Syracuse (-9),79,Final Lines Recap Box
NCAAB,735,Massachusetts (+3.5),69,Harvard (-3.5),63,Final Lines Recap Box
NCAAB,738,Kentucky (-1.5),74,Duke (+1.5),63,Final Preview Lines Recap Box (O/U 160)
NCAAB,739,Wichita St (-4),67,Tulsa (+4),77,Final Preview Lines Recap Box (O/U 141.5)
NCAAB,741,Texas Arlington (+6.5),68,Louisiana Tech (-6.5),80,Final Lines Recap Box
NCAAB,743,Texas San Ant (+19),78,Creighton (-19),103,Final Lines Recap Box (O/U 153)
NCAAB,745,Nebraska (+18.5),63,Villanova (-18.5),87,Final Preview Lines Recap Box (O/U 141.5)
NCAAB,747,Georgetown (+9),71,Maryland (-9),75,Final Preview Lines Recap Box (O/U 138)
NCAAB,750,Kansas (-4.5),73,Michigan St (+4.5),79,Final Preview Lines Recap Box (O/U 152.5)
NCAAB,751,Fullerton (+7),77,Pacific (-7),76,Final Lines Recap Box
NCAAB,753,Wisc Green Bay (+1),90,E Tennessee St (-1),103,Final Lines Recap Box (O/U 146)
NCAAB,755,Stephen Austin (+2.5),60,Northern Iowa (-2.5),70,Final Lines Recap Box (O/U 140)
NCAAB,757,Rider (+4),60,Lasalle (-4),73,Final Lines Recap Box
NCAAB,759,Furman (+3.5),79,Appalachian St (-3.5),70,Final Lines Recap Box
NCAAB,761,Dartmouth (-2),63,Marist (+2),73,Final Lines Recap Box
NCAAB,763,North Dakota (+26),64,Wisconsin (-26),78,Final Lines Recap Box
NCAAB,765,Middle Tenn St (+2),65,Murray St (-2),76,Final Lines Recap Box
NCAAB,769,Illinois Chi (+7),72,Western Illinois (-7),103,Final Lines Recap Box
NCAAB,771,Iona (+7),73,Oregon St (-7),93,Final Lines Recap Box (O/U 146.5)
NCAAB,773,Grambling,55,Ohio St,82,Final Lines Recap Box
NCAAB,998,Adams State,68,Utah St,83,Final Lines Recap Box
NCAAB,998,Alma,64,Central Mich,79,Final Lines Recap Box
NCAAB,998,Black Hills State,72,Grand Canyon,88,Final Lines Recap Box
NCAAB,998,Chowan,60,Nc Greensboro,81,Final Lines Recap Box
NCAAB,998,Colorado Christian,70,Northern Colorado,85,Final Lines Recap Box
NCAAB,998,Hampton,61,American,48,Final Lines Recap Box
NCAAB,998,Hartford,52,Louisville,87,Final Lines Recap Box
NCAAB,998,Howard Payne,56,Abliene Christian,70,Final Lines Recap Box
NCAAB,998,Idaho,45,Cs-Bakersfield,68,Final Lines Recap Box
NCAAB,998,Jackson St,78,Southern Miss,60,Final Lines Recap Box
NCAAB,998,Jacksonville,79,Florida St,98,Final Lines Recap Box
NCAAB,998,Kenyon,47,Miami-Ohio,68,Final Lines Recap Box
NCAAB,998,Louisiana Coll,73,Mcneese St,70,Final Lines Recap Box
NCAAB,998,Malone,46,Cleveland St,62,Final Lines Recap Box
NCAAB,998,Marian-In,59,Evansville,84,Final Lines Recap Box
NCAAB,998,Mo Kansas City,89,Nebraska-Omaha,95,Final OT Lines Recap Box
NCAAB,998,Mount Saint Vincent,67,St Francis Ny,93,Final Lines Recap Box
NCAAB,998,New Hampshire,66,Connecticut,85,Final Preview Lines Recap Box
NCAAB,998,Oakland City,69,Lipscomb,96,Final Lines Recap Box
NCAAB,998,Pennsylvania,60,Delaware St,54,Final Lines Recap Box
NCAAB,998,Queens College,57,Fordham,76,Final Lines Recap Box
NCAAB,998,St Josephs-In,43,Pittsburgh,84,Final Lines Recap Box
NCAAB,998,St. Thomas (tx),92,Sam Houston,114,Final Lines Recap Box
NCAAB,998,Stetson,93,The Citadel,94,Final Lines Recap Box
NCAAB,998,Tiffin,71,Northern Ky,83,Final Lines Recap Box
NCAAB,998,Truett-Mcconnell,78,Winthrop,106,Final Lines Recap Box
NCAAB,998,Tusculum,76,Vmi,88,Final Lines Recap Box
NCAAB,998,Warner,75,Fla Atlantic,72,Final Lines Recap Box
NCAAB,998,Washington Adventist,58,Norfolk St,78,Final Lines Recap Box
NCAAB,998,Wentworth,62,Northeastern,91,Final Lines Recap Box
NCAAB,998,Westminster (pa),72,St Francis Pa,103,Final Lines Recap Box
NCAAB,998,William & Mary,70,Liberty,59,Final Lines Recap Box
